Eubalaena_glacialis_(USNM_593893),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,6.2,38.85,23.1,8.82,3.4,94,17.1,5.3,0,0,NA,25.05,5.15,52
T2,8.03,29.15,23.3,12.89,5.57,80,16.2,7.01,0,0,NA,26.25,6.65,53
T3,9.75,28.6,24.7,16.3,8.17,81,17.8,9.55,0,0,NA,27.2,9.65,47
T4,11.95,28.2,23.4,19.05,8.9,91,16.8,11.08,1.07,3.57,8.8,26.4,9.31,52
T5,12.62,27.85,22.9,20.45,8.6,100,16.5,10.8,3.68,4.99,10.5,22.55,8.63,66
T6,13.55,28.3,22.4,21.15,11.14,94,19.1,10.24,3.91,4.54,15.6,16.8,9.91,66
T7,13.91,28.5,22.65,22.8,11.8,94,19.75,9.07,5.51,5.13,15.3,16.45,10.8,77
T8,14.5,29.1,22.8,25.05,12.48,95,17.8,9.95,4.93,6.5,15.85,13.75,11.06,83
T9,15.13,29.6,22.75,26.5,13.91,99,17.55,10.15,6.32,6.52,16.35,14.5,11.6,94
T10,15.8,30.3,23.55,25.8,14.01,103,17.4,9.85,7.09,9.57,18.45,14.15,10.89,99
T11,16.45,31.9,23.95,26.25,12.72,106,15.8,9.36,9.48,10.2,18.3,15.3,11.32,93
T12,17.3,32.85,23.6,26.35,13.08,110,14.85,11.49,12.61,10.89,19.5,20.45,17.1,91
T13,17.45,33.5,23.55,28.75,13.41,108,15.2,11.47,12.2,11.08,19.5,26.2,19.6,95
T14,18.4,32.45,24.05,29.6,13.66,110,14.95,11.87,12.33,9.4,19.75,33.8,12.64,98
L1,18.8,32.5,25.2,30.3,13.12,107,14.15,11.97,13.01,9.56,20.8,36.1,9.61,96
L2,18.55,32.1,27.75,30.8,12.44,114,13.2,12.15,13.1,9.5,20.15,39.9,11.65,93
L3,19.1,31.95,28.3,31.9,12.74,116,12.5,12.07,13.92,10.19,21.35,39.15,13.21,87
L4,19.5,32,28.6,32.8,12.55,118,12.1,11.66,14.38,10.26,21.2,39.1,14.36,83
L5,20,31.6,28.7,32.8,12.63,115,12.25,11.67,14.1,9.23,20.65,38.9,15.2,80
L6,19.75,31.75,28.3,33.4,12.9,113,11.6,11.09,14.38,7.96,20.8,38.45,17.2,80
L7,20.3,32.2,29.2,33.15,12.56,110,11.9,11.5,NA,NA,NA,36.75,16.4,78
L8,20.7,33.45,31.9,34.8,12.2,111,11.4,11.72,12.01,7.14,18.8,34.8,16.15,79
L9,21.65,33.75,32.8,33.8,12.83,116,11.35,10.86,12.64,7.62,18.7,33.65,15.3,81
L10,22.3,33.75,34.05,31.4,13.52,119,11.2,11.92,11.32,8.01,18.2,32.4,13.68,81
L11,22.6,34,35.4,29.5,13.1,114,11.95,13.07,12.03,9.51,18.5,29.4,12.06,75
L12,22.75,34.8,35.5,26.95,12.46,110,11.6,12.73,12.99,10.54,18.9,27.6,12.04,68
Ca1,23.1,36.1,35.5,25.6,12.62,112,10.9,12.52,13.23,10.1,18.2,25.7,11.78,73
Ca2,22.35,37.1,35.9,21.05,11.69,114,11.9,12.06,12.58,10.7,17.45,21.25,10.58,77
Ca3,22.05,35.6,36.4,18.8,13.54,113,10.6,11.77,12.31,11.75,17.8,16.05,11.39,81
Ca4,23.52,35.2,35.6,16.9,14.5,106,10.4,12.07,11.31,8.79,15.45,9.5,9.89,73
Ca5,23.52,34.7,36.95,16.8,14.77,104,9.1,12.43,10.05,7.53,12.8,7.4,8.03,67
Ca6,20.5,35.3,36.5,14.45,14.6,104,7.8,10.12,10.97,8.76,11.9,7.65,10.47,82
Ca7,19.1,35.1,36.75,12.22,13.5,103,6.3,9.27,9.57,9.76,10.15,4.68,8.67,83
Ca8,17.95,33.7,35.6,10.09,13.77,100,5.37,8.66,7.85,8.5,8.05,2.87,6.75,82
Ca9,17.6,32.7,36.05,7.81,12.89,95,3.84,9.69,6.11,5.48,4.75,1.45,5.09,90
Ca10,16.7,31.55,35.15,6.53,13.73,93,2.97,9.1,5.17,3.68,3,0,0,NA
Ca11,15.95,31.3,33.95,5.85,12.95,90,1.64,9.88,1.79,2.13,2.1,0,0,NA
Ca12,14.95,30.9,32.55,2.94,9.53,87,1.88,9.05,0,0,NA,0,0,NA
Ca13,13.45,28.5,30.1,0,0,NA,1.66,6.21,0,0,NA,0,0,NA
Ca14,11.97,24.95,26.05,0,0,NA,0,0,0,0,NA,0,0,NA
Ca15,10.99,21.55,21.6,0,0,NA,0,0,0,0,NA,0,0,NA
