Eschrichtius_robustus_(USNM_593558),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,6.41,21.6,17.1,6.72,3.19,107,12.5,6.68,2.6,1.5,4.5,14.8,6.22,74
T2,8.82,23.15,16.35,7.32,3.98,108,11.1,8.33,1.82,1.48,4.7,14.6,6.02,74
T3,10.63,23.2,16.8,8.54,4.67,105,13.5,9.12,1.59,1.43,4.5,13.3,5.55,73
T4,11.44,23.7,16.8,9.36,5.08,105,14.6,10.38,2.5,1.93,4.9,13.2,6.92,75
T5,12.22,23.2,17.4,10.69,6.82,96,14.3,9.76,3.42,4.84,7.7,13.5,8.68,80
T6,13.66,22.2,16.6,13.58,8.96,91,15.2,9.04,5.35,4.62,10,15.1,9.59,81
T7,14.91,23,17.2,15.5,12.86,92,13.8,8.61,7.13,6.74,10.8,15.8,10.86,84
T8,15.7,23.4,17.9,16.9,13.72,99,13.8,9.36,8.62,8.98,13.8,17.4,11.12,86
T9,16,23.5,18.35,18.55,11.97,104,11.9,9.24,10.59,10.05,14.8,19.3,12.46,93
T10,16.85,23.75,19,19.8,11.73,104,11.8,8.14,10.28,9.84,14.7,22.7,13.27,96
T11,16.9,24.3,19.1,21.5,12.59,102,11.5,8.76,10.01,9.73,14.5,24.2,12.44,108
T12,16.95,25.1,18.7,21.9,12.13,109,10.8,8.7,11.45,9.92,14.7,27.7,13.44,112
T13,17.4,25.75,18.3,23.8,11.25,122,11.3,9.25,10.99,11.5,16.4,28.9,12.16,116
T14,17.75,24.7,18.9,25.1,9.68,122,11.1,9.87,11.07,10.9,15.8,30.6,11.85,107
L1,18.05,24.5,19.4,25.8,10.97,115,10.7,9.71,12.43,11.4,14.2,30.9,12.3,102
L2,18.45,24.55,20.7,26.8,11.63,114,10.2,9.8,12.14,11.05,12.9,32.2,12.75,99
L3,18.65,24.45,21.3,26.8,12.05,120,10.1,9.83,13.11,9.92,13.85,31.05,12.52,93
L4,19.2,24.4,21.4,29.6,11.23,121,9.02,10.35,10.08,11.99,13.9,31.25,12.1,96
L5,19.7,24.45,21.2,29.9,11.11,121,8.6,10.61,11.47,11.23,14.1,31.05,13.16,95
L6,20.05,25,21.9,30,10.35,119,8.5,10.86,11.37,10.81,14,28.95,13.25,92
L7,19.8,25.35,22.15,31.7,10.97,121,7.7,10.86,11.19,10.95,14.25,29.05,13.45,95
L8,20.75,25.65,22.45,30.4,11.19,121,7.4,11.65,11.51,10.8,15.5,25.55,14.11,92
L9,21.7,26.9,23.1,29.8,12.21,124,7.9,11.74,12,10.15,16,24.6,14.23,90
L10,22.15,27.4,23.4,26.6,11.62,126,7.8,11.69,11.01,10.63,16.05,23.55,16.05,90
L11,22.2,28,23.55,23.6,10.98,123,6.45,12.15,9.26,10.63,15.25,23.65,15.2,87
Ca1,22.7,28.1,24.4,21.2,12.45,120,6,12.3,11.36,8.68,15.1,22.9,16.9,81
Ca2,23.35,28.6,25.5,19.1,12.98,117,5.9,11.53,10.69,6.02,14.3,20.25,16.5,84
Ca3,23.6,28.85,26.1,16.1,13.3,112,5.8,11.71,9.67,6.65,13.7,17.15,16.4,80
Ca4,22.7,28.4,26.8,12.87,11.51,127,4.05,9,10.28,8.12,10.55,10.65,13.2,77
Ca5,20.2,27,26.5,7.11,9.95,118,3.43,9.8,4.83,4.06,4.8,5.7,11.07,60
Ca6,19.35,25.8,26.3,6.11,10.01,116,2.64,10.76,5.6,3.31,3.7,3.45,7.06,52
Ca7,18.25,24,25.75,4.14,7.83,119,1.78,9.67,5.96,4.17,3.65,2.21,6.61,70
Ca8,16.8,22.45,25.55,3.54,6.3,115,2.11,6.65,3.73,2.6,3.2,1.98,3.75,78
Ca9,15.3,20.8,23.4,1.99,5.56,112,1.28,5.7,2.89,1.9,1.3,1.79,3.48,85
Ca10,10.25,20.35,19.9,0,0,NA,0,0,0,0,NA,0,0,NA
