Balaenoptera_borealis_(NRM_558432),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,8.59,22.7,17.7,21.1,6.5,87,11.5,8.5,1.92,2.09,3.3,25.2,8.42,75
T2,10.55,24.7,16.5,21.3,6.44,94,13.2,7.52,2.38,4.47,3.5,26.2,4.53,65
T3,12.42,24,16.5,23.6,7.77,82,14.5,7.3,5.15,5.58,5.7,20.8,7.46,74
T4,15.17,24,16.5,27.8,11.19,76,14.5,8.24,6.67,6.74,7.8,20.8,10.6,71
T5,16.9,23.3,17.2,31.6,14.04,76,14,10.82,9.04,8.43,12.1,23.5,13.27,76
T6,18.1,23.2,17.2,35.8,16.5,82,12.5,9.81,10.4,8.54,13.2,27.8,13.26,87
T7,19,23,17.3,39,18.15,80,12.1,11.14,11.06,10.28,15.5,35,12.35,97
T8,20.1,24,18,41.9,18.35,84,12.5,12.22,10.13,11.77,18,34.8,12.91,102
T9,20,23.3,18.4,41.5,18.3,86,13.8,12.58,12.75,10.01,19.55,36,11.73,103
T10,20.6,23.9,18.8,42.4,15.65,87,14.5,12.94,13.07,10.85,21,37.9,13.6,102
T11,20.7,24,18.2,41.4,17.9,91,16,13.14,12.89,10.67,21.4,38.5,15.5,100
T12,22.05,25.8,18.7,42.8,18.5,95,14.5,13.62,14.55,10.67,20.8,39.5,19.1,97
T13,21,24.8,18.1,41.9,19.1,100,16,13.94,16.4,9.19,20.5,42.1,16.4,94
L1,21.6,24.9,18.9,42.7,19.3,100,15,12.99,18,9.42,22,40.2,17.5,93
L2,22.2,24.8,19.8,43.8,18.15,104,14.5,12.76,15.2,9.41,21.9,40.2,17.3,90
L3,22.8,25.6,20.2,44,18,100,14,12.1,15.3,8.24,23.9,40.2,18.1,85
L4,22.7,25.2,20.2,NA,NA,NA,13.5,12.65,18.1,7.61,23.7,39.9,18.25,80
L5,23.5,26.2,20.1,49.8,17.6,105,12.7,12.97,16.5,8.29,23.3,40,18.7,79
L6,24.1,25.5,21.6,NA,NA,NA,13.3,13.51,NA,NA,NA,39.7,20,82
L7,24.4,25.8,21.1,NA,NA,NA,11.4,12.97,17.4,8.68,23.4,39,17.6,76
L8,24.9,25.6,21.9,46.9,18.2,102,11.5,12.51,16.7,8.1,22.9,37,18,80
L9,25.4,27.2,21.6,47.2,18,102,12.4,12.14,16.4,8.77,23,37.1,18.7,85
L10,25.75,26.6,21.1,46.4,18.75,106,12,12.6,16.2,8.62,22.1,34.9,19,83
L11,26.9,26.4,21.9,46.6,20,109,12,12.6,15.8,8.1,22.4,31.4,20.1,85
L12,27.1,27.7,22.2,44.9,19.8,106,13.5,13.13,14.3,8.64,22.3,29.3,19.8,89
L13,27.9,28.7,24.1,44.6,19,100,12.3,12.34,12.81,8.98,21.9,27.4,18.8,93
L14,28.5,27.4,24.9,41.8,18.7,103,11.3,12.04,11.37,10.87,20.6,25.1,19.7,96
Ca1,28.45,27.9,24.6,38.4,19,103,11.4,12.3,11.52,11.29,19.4,24.8,18,95
Ca2,27.8,28.2,24.6,36.8,17.2,105,12.2,12.92,6.99,10.46,17.4,20.2,16.7,97
Ca3,27.8,28,27.4,32,13.95,112,11.7,12.95,6.68,10.37,16.5,18.7,16.9,96
Ca4,28.4,29,27.2,23.4,11.05,113,9.1,12.24,7.01,10.94,15.9,14.7,15,100
Ca5,27.4,28.9,27.2,18.7,8.18,115,8.3,11.32,8.42,11.04,12.4,12.9,13.4,95
Ca6,27.6,28,25.9,14.5,6.03,125,7,11.83,7.97,11.26,11,10.1,12.6,92
Ca7,26.2,28.7,25.6,9.9,5.19,123,6,12.06,6.01,9.46,10.5,7.1,12.4,90
Ca8,25.9,26.4,24.3,7.31,4.04,140,4.5,11.04,5.9,8.34,9.6,4.6,9,85
Ca9,24.8,24.8,25.1,5.7,3.35,158,2.9,10.19,4.3,7.27,7.3,2.5,6.4,80
Ca10,22.5,22.3,23.7,4.7,3.07,160,1.66,9.21,3.98,6.17,5.8,0,0,NA
Ca11,20.7,22,22.5,2.44,3.3,135,1.76,11.6,3.12,5.43,3.4,0,0,NA
Ca12,15.2,18.3,19,0,0,NA,1.35,4.44,3.22,1.86,2.4,0,0,NA
Ca13,12.3,17.2,17.3,0,0,NA,0,0,0,0,NA,0,0,NA
Ca14,10.9,15.2,15.5,0,0,NA,0,0,0,0,NA,0,0,NA
