Feresa_attenuata_(SMNS_8841),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.28,3.74,4,1.8,0.52,135,3.3,1.21,0,0,NA,2.31,1.45,75
T2,1.51,3.69,4.2,3.5,0.75,135,3.8,1.29,0.57,0.47,2,2.35,1.55,80
T3,1.89,3.74,4.49,3.85,0.89,130,3.8,1.82,0.85,0.49,2.4,2.26,1.52,90
T4,2.41,3.45,3.97,4.55,1.35,125,4,2.1,1.12,0.7,3.2,2.63,1.4,90
T5,2.56,3.45,4.05,4.7,1.18,125,3.8,1.33,1.04,0.79,3.4,3.53,2.11,95
T6,2.8,3.5,4.26,4.9,1.49,125,3.7,1.54,1.7,0.58,3.5,3.98,2.12,97
T7,2.97,3.89,4.33,5.1,1.91,115,3.5,1.82,1.04,0.64,3.5,4.15,1.88,100
T8,2.89,3.64,4.09,5.6,2,120,3.3,1.92,1.29,1.08,3.6,4.75,2.07,95
T9,3.29,3.66,4.16,6.4,2.5,115,3.2,1.89,1.65,1.09,3.5,5,2.04,95
T10,3.26,3.68,4.24,7.3,2.36,120,3.1,1.99,1.34,1.05,3.4,5.82,2.2,100
T11,3.24,3.73,4.4,7.4,2.3,118,3.1,1.89,1.3,0.99,3.5,7.18,2.43,100
T12,3.2,3.8,4.49,7.5,2.05,110,2.9,2.08,1.16,1.09,3.5,8.88,2.35,100
L1,3.2,4.48,3.92,7.6,2.32,115,3.35,2.09,1.45,1.08,3.7,9.02,2.25,100
L2,3.02,4.43,4.07,8.25,2.28,110,3.4,2.12,1,0.93,3.75,9.16,2.21,100
L3,3.09,4.16,4,8.7,1.99,110,3.35,2.01,0.67,0.98,3.5,9.18,2.08,93
L4,2.99,4.23,4.17,8.5,1.88,108,3.3,2.03,0.87,0.98,3.8,9.1,2.05,95
L5,3,4.56,4.28,8.8,1.96,105,3.35,1.88,0.69,0.86,4,9.1,2,97
L6,2.87,4.35,4.25,8.9,1.86,103,3.5,1.68,0.56,1.41,4.2,8.95,2.18,93
L7,2.8,4.39,4.23,9,1.93,100,3.5,1.79,0.42,1.18,4.2,8.66,2.05,90
L8,2.96,4.42,4.22,9.2,1.78,98,3.8,1.65,0.2,0.97,4.9,8.36,2.18,90
L9,2.91,4.56,4.37,8.9,1.86,95,3.75,1.77,0.32,0.9,5,8.45,2.11,90
L10,2.81,4.48,4.23,8.9,1.75,93,3.7,1.67,0,0,NA,8.65,2.11,90
L11,2.88,4.47,4.23,9.1,1.86,88,3.5,1.56,0,0,NA,8.13,1.97,90
L12,2.71,4.46,4.34,9,1.95,88,3.5,1.74,0,0,NA,7.97,1.81,93
L13,2.77,4.44,4.36,8.3,1.98,84,3.5,1.7,0,0,NA,7.6,1.79,95
L14,2.73,4.52,4.45,7.9,1.75,83,3.5,1.69,0,0,NA,7.26,1.83,95
L15,2.58,4.38,4.65,7.6,1.91,82,3.5,1.68,0,0,NA,6.73,1.82,96
L16,2.84,4.63,4.74,6.7,2,80,3.4,1.7,0,0,NA,6.49,1.76,96
Ca1,2.83,4.43,5.12,7.8,2.26,78,3.4,1.82,0,0,NA,5.92,1.58,93
Ca2,2.74,4.64,4.91,7,2.06,78,3.2,1.64,0,0,NA,5.88,1.64,85
Ca3,2.7,4.72,4.71,6.8,2.13,78,3.2,1.72,0,0,NA,5.94,1.59,85
Ca4,2.68,4.68,4.78,6.8,2.05,76,3.2,1.76,0,0,NA,5.76,1.69,85
Ca5,2.6,4.84,4.69,6.5,1.92,75,2.8,1.68,0,0,NA,5.84,1.7,85
Ca6,2.66,4.94,4.65,5.9,1.86,74,2.8,1.61,0,0,NA,5.49,1.68,75
Ca7,2.7,4.84,4.7,5.7,1.88,75,2.4,1.39,0,0,NA,4.78,1.63,75
Ca8,2.63,4.61,4.41,5.3,1.98,76,2.2,1.55,0,0,NA,4.56,1.77,75
Ca9,2.76,4.79,4.36,5.1,2.05,79,2.3,1.63,0.4,0.72,5,4.14,1.66,75
Ca10,2.67,4.71,4.45,4.7,1.96,84,2.1,1.64,0.56,0.98,4.7,3.98,1.61,76
Ca11,2.76,4.69,4.55,4,2.05,83,1.8,1.56,0.54,0.96,4.3,3.53,1.52,77
Ca12,2.68,4.92,4.38,4,1.83,85,1.7,1.57,0.47,0.83,4.1,3.5,1.53,78
Ca13,2.73,4.82,4.51,3.75,1.92,88,1.4,1.51,0.75,1.06,3.75,3.04,1.66,78
Ca14,2.77,4.9,4.58,3.6,1.84,97,1.3,1.58,0.65,0.72,3.3,2.45,1.55,80
Ca15,2.69,4.87,4.79,3.3,1.96,98,1.3,1.62,0.62,1.04,2.95,2,1.51,75
Ca16,2.94,4.83,4.82,3.2,1.98,102,1.25,1.62,0.8,0.97,2.7,1.62,1.62,75
Ca17,2.85,4.73,4.83,3,2.1,102,1.05,1.59,0.76,1.28,2.5,1.11,1.63,75
Ca18,3.05,4.57,5.04,2.8,2.08,100,0.9,1.72,0.69,1,2.3,0.66,1.37,75
Ca19,3.1,4.28,5.07,2.4,2.11,105,0.8,1.75,0.71,1.07,2.05,0,0,NA
Ca20,3.28,4.13,5.29,1.85,2,108,0.65,1.93,0.89,0.83,1.55,0,0,NA
Ca21,3.29,4,5.26,1.4,1.95,108,0.5,2.42,0.99,0.92,1.4,0,0,NA
Ca22,3.31,3.82,5.06,0.8,1.42,100,0.45,2.33,0.79,0.4,0.95,0,0,NA
Ca23,3.12,3.79,5.72,0,0,NA,0.4,2,0.87,0.35,0.5,0,0,NA
Ca24,2.3,4.09,3.94,0,0,NA,0,0,0,0,NA,0,0,NA
