Grampus_griseus_(PEM_N117),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.59,4.84,3.77,1.46,1.31,97,3.76,1.13,0,0,NA,2.93,1.2,80
T2,2.05,4.73,3.68,2.52,1.82,100,3.23,1.41,0,0,NA,2.87,1.26,82
T3,2.46,4.31,3.7,1.27,1.97,95,3.32,1.67,0,0,NA,3.25,1.86,90
T4,2.85,4.32,3.87,2.34,1.62,100,3.44,1.92,0,0,NA,3.28,1.97,90
T5,2.48,4.74,4.31,2.45,2.27,103,3.33,1.87,0.48,0.88,2.3,3.83,2.16,90
T6,3.1,4.78,5.93,2.59,2.24,102,3.05,1.89,0.93,1.19,2.5,3.37,2.03,90
T7,2.74,5.21,4.91,3.67,2.35,100,3.08,2.23,1.27,1.09,2.5,4.14,2.09,92
T8,3.67,5.06,4.97,5.2,2.29,106,2.98,2.22,1.22,1.1,2.8,4.53,2.35,95
T9,3.6,5,5.09,5.73,2.18,105,2.89,2.13,1,1.07,3.5,4.44,2.01,95
T10,3.75,4.86,4.78,6.54,2.35,106,3.25,2.05,1.11,0.96,3.7,5.15,1.8,95
T11,3.79,4.31,3.9,6.83,2.29,107,3.38,1.79,1.06,0.99,4.3,5.88,1.76,9
T12,3.65,4.36,3.88,7.21,2.17,110,3.52,1.56,1.17,1.22,4.6,7.4,2.04,94
T13,3.5,4.45,3.92,7.51,2.19,106,3.31,1.37,1.16,0.88,4.7,8.55,1.77,92
L1,3.18,4.57,4.17,8.06,2.52,105,3.08,1.27,0.97,0.91,4.4,8.62,1.65,90
L2,3.25,4.82,4.42,8.23,2.08,103,3.44,1.49,0.66,0.83,3.9,8.29,1.8,85
L3,3.1,5.38,4.89,8.52,2.47,98,3.18,1.53,0.53,0.82,3.9,7.98,1.68,86
L4,3.15,4.77,4.62,8.62,2.44,95,3.01,1.63,0.32,0.8,3.5,7.68,1.62,85
L5,2.93,4.62,4.36,8.9,2.16,93,3.01,1.15,0.38,0.76,3.7,8.21,1.64,83
L6,2.67,4.52,4.4,9.02,2.08,91,2.95,1.1,0.51,0.89,3.6,7.93,1.72,83
L7,2.63,4.8,4.72,9.17,1.85,90,2.88,1.1,0.56,1.27,3.8,7.6,1.61,81
L8,2.71,4.99,4.77,9,1.75,90,3,1.34,0.51,0.57,3.55,6.89,1.7,80
L9,2.88,4.68,4.76,8.95,1.86,88,2.82,1.38,0.49,0.94,3.45,6.76,1.58,80
L10,3.14,4.88,4.97,8.95,1.74,87,2.63,1.44,0,0,NA,6.83,1.79,80
L11,2.72,5.32,5.05,8.38,1.78,87,2.7,1.49,0,0,NA,6.61,1.68,80
L12,2.53,4.96,5.17,8.28,1.83,87,2.65,1.48,0,0,NA,6.46,1.75,80
L13,2.94,4.84,4.89,7.62,1.96,85,2.69,1.66,0,0,NA,5.97,1.77,79
L14,2.76,4.9,4.67,6.97,1.97,87,2.81,1.28,0,0,NA,5.8,1.53,83
L15,2.8,4.74,4.7,6.29,1.95,90,2.65,1.35,0,0,NA,5.43,1.5,82
L16,2.77,4.94,4.7,NA,NA,90,2.69,1.29,0,0,NA,5.09,1.5,78
L17,2.82,4.74,4.76,5.51,2.3,90,2.79,1.21,0,0,NA,5.32,1.61,79
L18,3.28,5.36,5.37,5.16,2,90,2.47,1.43,0,0,NA,4.54,1.99,80
L19,3.15,5.33,5.55,5.31,1.97,90,2.5,1.54,0,0,NA,4.5,1.9,78
L20,2.89,5.33,5.03,4.85,2.24,95,2.6,1.7,0,0,NA,4.31,2.16,80
Ca1,3.16,4.97,4.91,4.41,2.13,100,2.82,1.43,0,0,NA,3.88,1.72,77
