Grampus_griseus_(USNM_347613),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.79,5.91,4.4,0.85,1.48,86,3.4,1.36,0,0,NA,2.82,1.54,75
T2,2.5,5.7,4.49,1.6,2.86,92,3.92,1.92,0,0,NA,2.71,1.6,80
T3,2.96,5.62,4.81,3.44,1.93,106,3.64,2.1,0,0,NA,2.78,2.1,81
T4,3.25,5.28,4.67,4.48,2.05,124,4.11,2.19,0,0,NA,3.05,2.99,85
T5,3.51,5.34,4.67,4.86,2.13,126,4.1,1.86,0.61,0.56,3.3,2.85,3.11,92
T6,3.79,5.26,4.55,6.42,2.95,122,4.41,1.79,0.64,0.72,3.05,3.06,2.98,95
T7,4.04,5.24,4.65,7.46,3.18,118,4.22,1.69,1.13,0.7,3.3,2.79,3.45,95
T8,4.14,5.31,4.63,9.07,3.51,116,4.12,2.34,1.27,0.84,4.05,4.52,2.78,96
T9,4.26,5.49,4.64,9.82,3.44,115,3.78,2.62,1.37,1.01,4.6,5.9,2.59,95
T10,4.18,5.55,4.77,10.22,3.56,112,3.78,2.8,1.63,1,4.9,6.72,2.41,98
T11,4.21,5.54,4.86,10.59,3.93,110,3.48,2.63,1.68,1.13,5.1,7.46,2.68,100
T12,4.08,5.59,4.87,10.88,3.97,106,3.89,2.38,1.58,1.01,5.05,8.87,2.72,100
T13,4.06,5.58,4.92,12.02,3.59,104,3.81,2.44,1.08,1.04,4.9,10.21,2.51,100
L1,3.96,5.52,5.11,12.38,3.66,102,3.56,2.29,0.73,0.84,4.55,10.54,2.22,98
L2,3.81,5.61,5.19,13.18,3.38,99,3.68,2.23,0.57,0.73,4.6,10.27,2.24,88
L3,3.64,5.62,5.19,13.2,2.81,98,3.54,1.94,0.37,0.53,4.55,10.22,2.19,88
L4,3.62,5.67,5.24,13.6,2.71,97,3.41,1.71,0.51,0.75,4.85,10.18,2.16,86
L5,3.52,5.79,5.35,13.83,2.23,98,3.33,1.57,0.57,0.68,4.6,9.81,2.13,83
L6,3.45,5.76,5.46,13.79,2.23,100,3.33,1.63,0.53,0.64,4.7,9.28,2.1,84
L7,3.36,5.7,5.53,13.84,2.52,97,3.27,1.47,0.41,0.8,5,8.87,2.12,87
L8,3.34,5.72,5.55,13.76,2.24,93,3.34,1.62,0.53,0.78,4.9,8.62,2.09,87
L9,3.28,5.67,5.59,13.43,2.35,90,3.33,1.52,0.24,0.54,5.15,8.44,1.88,87
L10,3.32,5.84,5.52,12.96,2.29,89,3.32,1.53,0.23,0.49,5.5,8.07,1.92,85
L11,3.31,5.96,5.67,12.69,2.42,92,3.37,1.61,0,0,NA,7.81,2.1,85
L12,3.2,6.03,5.81,12.56,2.81,90,3.26,1.66,0,0,NA,7.94,2.09,84
L13,3.22,6.31,5.75,12.21,2.85,89,3.18,1.73,0,0,NA,7.61,2.04,86
L14,3.17,6.24,5.81,11.31,2.81,86,3.43,1.58,0,0,NA,7.41,2.02,88
L15,3.14,6.28,5.91,10.8,3.15,84,3.19,1.69,0,0,NA,7.34,2.03,89
L16,3.2,6.13,5.98,9.97,3.04,85,3.15,1.71,0,0,NA,7.13,1.97,88
