Balaenoptera_borealis_(USNM_236680),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,7.85,22.05,16.35,14.65,4.16,83,7.2,7.03,1.74,2.03,1.5,21.5,6.31,76
T2,9.21,23.45,17.75,19.05,7.19,86,7.1,11.24,2.54,2.15,3,21.35,5.41,62
T3,11.33,23.75,17.4,21.8,6.1,80,7.5,10.34,2.86,3.62,4.2,18.4,9.82,70
T4,13.59,22.75,16,25.8,11.42,74,10.7,8.14,6.67,6.62,9.7,21.55,11.66,81
T5,14.63,22.5,16.3,28.25,13.5,77,11.8,8,9.48,8.13,12,24.1,11.75,85
T6,15.4,21.45,17.5,29.5,14.12,85,11.7,9.09,10.11,9.35,13.15,26.2,12.53,86
T7,17.55,21.9,16.95,32.2,14.02,88,11.5,10.02,9.57,10.31,15.5,31.6,11.86,92
T8,18.25,22.25,16.8,35.2,14.9,95,9.2,10.73,10.18,10.49,17.05,34.25,11.75,99
T9,18.8,22.6,17,35.4,15.9,97,9.4,11.15,11.61,11.73,19.15,34.6,11.78,100
T10,19,22.5,16.9,37,15.8,99,8.95,11.62,12.48,12.85,20,36.15,12.9,98
T11,19.45,22.8,17,37.7,15.7,102,9.3,11.19,11.02,13.07,20.25,35.8,13.36,102
T12,19.35,23.4,16.9,38.2,16,106,8.75,11.72,13.08,11.64,20.85,35.9,14.43,100
T13,19.3,23.9,17.25,37.8,17.5,105,9.03,12.06,14.46,11.45,21.1,34.6,12.73,102
T14,20.1,23.9,18.15,38.2,19.1,106,8.83,11.83,15,9.81,21.2,34.2,14.6,97
L1,20.8,23.7,18.6,38.5,18.95,107,9.03,11.89,16.15,9.28,20.7,34.9,14.85,91
L2,20.6,23.1,18.55,42.6,16.5,108,8,11.42,16.6,6.93,20.2,36.15,14.44,84
L3,21.35,22.9,18.85,42.7,17.1,107,8.41,11.87,17.2,7.07,19.9,36.7,16.25,86
L4,22.1,23.7,19.25,44.5,17.1,107,7.91,11.81,16.9,6.47,20.7,35.9,16.7,84
L5,22.1,23.6,19.8,44.7,16.25,107,7.75,11.41,17,6.39,20.5,34.8,17.35,82
L6,22.7,23.45,19.9,46.9,16.5,104,7.19,11.71,14.65,7.58,19.5,34.6,16.65,80
L7,23.15,24.1,19.85,47.4,15.95,108,7.16,11.17,16.2,7.22,19.4,32.7,17.1,81
L8,23.6,24.45,19.9,46.6,15.3,108,7.6,11.12,15.5,7.54,19.95,30.95,17.15,81
L9,23.9,24.65,19.8,44.1,14.85,111,7.65,11,15.45,7.74,19.7,30.35,17.1,80
L10,24.65,24.7,20,43.2,17,107,7.7,10.46,12.76,7.76,19.35,29.55,19.55,80
L11,25.5,24.9,20.55,41.3,16.95,106,8.3,11.01,11.76,8.14,19.1,26.7,19.7,82
L12,25.9,26,20.9,39.8,17.85,105,7.45,10.41,11.45,9.36,19.1,24.6,18.55,83
L13,25.55,25.85,22.15,38.1,17.3,107,7.73,10.75,10.49,8.56,18.1,21.6,17.5,91
L14,26.05,26.2,23.6,36.3,17.7,104,8.38,10.76,10.38,8.09,17,19.45,17.35,94
Ca1,26.7,26.2,23.4,35.25,15.3,103,7.98,11.72,10.98,6.96,15.95,19,17.8,94
Ca2,26.25,27.33,23.8,32.3,13.18,105,7.72,12.47,9.65,6.17,15.1,16.35,17.15,103
Ca3,26.7,27.9,24.4,24.1,10.09,109,7.25,11.76,9.07,7.2,14,12.5,16.6,102
Ca4,26.65,28.3,24.9,17.1,7.84,116,6.07,10.57,8.02,5.66,13.1,9.6,14.5,100
Ca5,26.25,27.5,25,13.83,5.62,118,4.74,10.05,8.53,5.35,11.9,8.3,14.15,100
Ca6,25.6,27.2,24.7,9.18,5.99,131,4.76,10.03,7.63,4.39,9.05,5.95,13.91,95
Ca7,25.05,25.8,24.4,7.53,4.03,145,2.98,9.62,7.26,3.92,8.15,3.45,13.95,81
Ca8,24.25,24.1,23.75,6.08,4.3,147,2.06,9.3,6.42,2.99,6.8,2.2,9.97,75
Ca9,22.6,22,23.65,2.97,4.56,124,1.47,12.67,6.8,3.03,3.9,1.55,5.19,78
Ca10,21.6,19.7,22,1.84,2.88,119,1.31,11.58,6.4,2.85,3.25,0,0,NA
Ca11,17.1,18.45,19.8,0,0,NA,1.21,9.85,4.22,2.03,1.8,0,0,NA
Ca12,12.73,18,19.6,0,0,NA,0,0,0,0,NA,0,0,NA
Ca13,10.25,16.9,16.85,0,0,NA,0,0,0,0,NA,0,0,NA
