Hyperoodon_ampullatus_(RBINS_1503),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,3.5,11.5,10.9,10.9,3.1,105,9.3,3.05,0,0,NA,9,2.1,55
T2,3.9,12.9,11.3,14.9,3.97,113,9.8,4.77,0.93,1.88,3.8,10.8,2.7,55
T3,5.1,13.1,10.6,18.8,4.39,116,10,5.21,1.38,1.76,4.3,10.6,3.4,60
T4,6,13.5,10.4,20.5,4.82,112,10.3,4.77,2.15,2.3,5.5,9.8,3.7,90
T5,7.2,13,10.7,23.3,5.66,109,10,4.14,2.95,2.92,6.5,9.6,4,90
T6,7.9,13.4,11.3,26,5.31,109,9.5,4.13,3.59,2.98,6.7,9.7,4.3,94
T7,8.5,13.5,11.8,27.2,5.56,112,9.3,4.96,4.33,2.78,7.2,7.7,3.1,95
T8,9.5,13.3,12.4,30.5,6.1,114,9,6.33,6.51,5.04,8.5,9,6,100
T9,10.2,13.5,13.1,31,6.27,114,8.8,6.79,6.07,4.88,8.7,12,6.2,95
L1,11,13.5,13.8,33.9,6.82,116,8.2,7.24,6,4.55,7.8,12,5.7,85
L2,12.2,13.3,13.5,34.7,7.3,115,7.6,7.38,5.2,4.21,7.5,10.8,5.6,78
L3,12.9,13.6,13.9,36.4,7.27,118,7.7,7.81,4.88,4.76,7.5,11,5.9,75
L4,13.4,13.6,13.5,37.7,7.28,115,7.6,8.13,5.01,4.9,7.4,10.4,5.9,70
L5,14.7,13.5,13.5,38,7.13,114,7,8.3,5.38,4.85,7.5,9.8,5.9,70
L6,14.8,13.9,13.8,37.9,7.71,116,7,8.85,5.41,5.1,7.7,9,6,65
L7,16.4,15.1,13.9,37.5,7.82,116,6,9.25,4.63,4.76,7.3,8,6.3,70
L8,17,15.4,13.9,37.6,7.75,117,6,9.98,4.78,5.01,7.6,8,5.8,70
L9,17,15.6,13.9,37,8.09,115,6,9.93,3.8,5,7.5,8,6,58
L10,17.5,15.6,14,35.7,8.09,116,5.5,10.23,3.49,4.57,7.2,8,7,58
Ca1,17.6,16,14.3,33.4,9,116,5,10.98,3.02,4.82,7,7.5,6,60
Ca2,17.2,16,14.3,29,8.97,115,4.5,10.7,2.91,4.67,7,6,5.9,54
Ca3,16.9,15.5,14.3,25.5,9.05,107,3.9,10.92,2.99,4.23,6.5,5.4,5.9,40
Ca4,16.4,14.8,14.3,21.2,8.86,110,3.3,10.14,2.93,4.28,6,5.4,7.1,40
Ca5,15.2,14.1,14.2,18,8,115,2.8,9.55,2.62,3.64,5.4,4.3,6.8,50
Ca6,14.6,13.6,13.8,14.3,7.46,118,2,9.1,2.34,2.77,4,2.9,5.7,50
Ca7,14,13.6,14.3,11,7.75,115,1.3,8.75,2.39,1.82,2.3,0,0,NA
Ca8,12.9,13.3,14.5,6.5,7.81,117,1.1,8.65,1.67,1.04,2,0,0,NA
Ca9,11.3,12.3,17,3,7.1,110,1.09,7.52,0,0,NA,0,0,NA
Ca10,9.7,11.5,15.5,1.4,4.7,95,0.95,5.17,0,0,NA,0,0,NA
Ca11,8.7,10.6,12.5,0,0,NA,0.96,4.69,0,0,NA,0,0,NA
Ca12,8.1,11.1,12,0,0,NA,0,0,0,0,NA,0,0,NA
