Hyperoodon_planifrons_(NRM_558395),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,5.32,12.01,10.88,NA,3.26,NA,10,4.13,0,0,NA,4.5,4.16,68
T2,7.08,11.82,10.67,20.65,4.3,96,9.3,4.28,0,0,NA,3.4,3.37,65
T3,8.43,12.49,10.12,26.5,6.5,NA,NA,NA,1.55,1.86,5.6,4.4,3.5,94
T4,9,12.08,10.04,26.7,7.3,NA,NA,NA,1.07,1.4,6.8,4.9,3.92,105
T5,10.09,12.68,10.46,27.8,7.61,104,9.5,5.88,1.87,2.96,6.5,5.7,3.89,103
T6,10.59,12.59,10.27,33.9,7.87,108,8.5,5.52,2.97,3.06,6.3,6.6,4.53,104
T7,11.94,13.24,10.22,34.4,7.72,114,8.1,6.15,3.12,3.64,8.1,7.9,3.67,102
T8,13.06,13.21,10.55,37.2,8.3,114,7.2,7.38,4.46,6.99,8.9,10.2,6.42,100
T9,13.93,13.29,11,39.3,8.54,112,7.2,7.42,4,7.27,9.6,12.15,8.74,75
L1,14.67,13.57,11.58,39.9,8.34,109,7.6,7.75,4.5,6.19,9.6,11.15,7.7,70
L2,15.11,13.61,12,40.6,8.71,108,7.5,7.94,4.2,5.91,9.2,10.8,7.11,74
L3,15.4,13.7,12.47,41.7,9.1,107,7,8.13,3.95,6.49,8.8,9.05,7.18,71
L4,16.05,13.59,12.33,42,8.3,108,6.1,8.42,4.54,6.57,8.7,8.55,6.25,68
L5,16.9,13.99,13,NA,8.75,110,5.6,8.82,3.82,5.49,7.5,9.55,6.62,62
L6,18.5,14.61,13.51,41.1,9.42,114,5.4,9.39,4.13,5.76,7.6,8.9,6.93,67
L7,17.9,14.27,12.82,42.7,9.49,113,6.4,9.23,5.05,5.76,8.85,8.4,7.29,60
L8,19.5,15.24,13.61,42.1,10.31,116,5.6,9.75,4.4,5.69,9.1,9.2,6.78,68
L9,20.2,15.3,14.06,39.4,10.23,115,5.4,10.34,4.89,5.1,7.5,8.4,8.11,63
L10,21.05,15.7,14.39,36.9,10.5,111,5.5,10.57,3.17,4.88,7.1,7.7,7.78,70
Ca1,21.4,16.4,14.34,34.9,10.79,113,5.5,10.88,3.06,4.8,6.5,6.4,8.25,74
Ca2,20.8,17.1,14.31,30.4,11.12,114,5.1,10.65,2.46,3.52,6.2,5.2,8.16,85
Ca3,19.6,15.95,15.25,26.9,11.43,110,4.65,10.96,2.84,3.41,6.8,4.5,9.38,88
Ca4,18.7,16.2,17.6,22.8,11.98,109,2.7,10.15,1.94,3.4,6.3,3.7,7.16,75
Ca5,18.1,16.2,18.8,17,11.5,112,2.3,9.21,1.99,2.68,5.1,3.25,7.82,73
Ca6,17.35,15.6,17.8,13.35,10.62,114,1.8,8.2,2.13,2.09,4,2.5,5.09,80
Ca7,16.65,14.6,18.1,9.3,8.3,111,1.5,8.12,2.25,1.58,3.1,0,0,NA
Ca8,15.7,14,16.8,5.5,8.27,111,1.1,8.48,1.62,1.62,1.8,0,0,NA
Ca9,14.35,13.2,15.3,3.25,6.49,113,0.6,6.92,0,0,NA,0,0,NA
Ca10,11.33,12.59,13.6,0,0,NA,0,0,0,0,NA,0,0,NA
Ca11,7.65,11.11,11.38,0,0,NA,0,0,0,0,NA,0,0,NA
Ca12,6.44,9.41,9.26,0,0,NA,0,0,0,0,NA,0,0,NA
