Inia_geoffrensis_(SMNS_45662),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.39,3.05,2.39,2.66,0.94,90,2.59,1.39,0,0,NA,1.18,1.11,90
T2,1.49,2.96,2.51,4.14,1.58,90,2.55,2,0,0,NA,1.43,1.2,85
T3,1.57,3.1,2.43,4.03,1.53,90,2.55,2.06,0,0,NA,1.55,1.4,85
T4,1.73,3.04,2.41,4.44,1.79,90,2.5,2.06,0,0,NA,1.54,1.49,85
T5,1.86,2.81,2.46,4.33,2.02,87,2.4,1.94,0.25,0.33,1.57,1.41,1.56,85
T6,2.11,2.93,2.62,4.58,1.99,85,2.3,1.97,0.31,0.39,1.23,1.43,1.64,80
T7,2.17,3.04,2.55,4.66,2.07,80,2.1,1.88,0.31,0.43,1.2,1.25,1.6,80
T8,2.22,2.89,2.63,4.83,2.33,80,2,1.86,0.3,0.48,1.18,1.05,1.47,85
T9,2.24,3.02,2.68,4.72,2.48,80,1.8,1.93,0.34,0.49,1.38,1.1,1.47,90
T10,2.37,3.36,2.72,4.76,2.41,83,1.4,1.87,0.48,0.58,1.25,0.83,1.38,90
T11,2.55,3.23,2.97,4.64,2.61,85,1.4,1.97,0.95,0.53,1.34,1.05,1.9,90
T12,2.69,3.3,2.16,4.67,2.67,85,1.5,2.17,1.08,0.82,1.35,1.91,1.36,95
T13,2.78,3.46,3.22,4.56,2.76,87,1.5,2.36,1.11,1,1.7,3.16,2.69,95
L1,3.46,3.34,3.13,3.97,3.06,90,1.65,2.44,1.02,0.86,1.65,4.3,3.41,90
L2,3.21,3.55,3.02,4.06,2.81,92,1.84,2.44,0.9,1,1.9,4.79,3.42,90
L3,3.58,3.5,3.16,3.52,2.31,96,1.96,2.38,0.95,1.22,2.04,4.58,3.25,90
Ca1,3.53,3.36,3.45,3.72,2.79,92,1.87,2.32,0.61,1.07,2.17,4.38,3.33,90
Ca2,3.21,3.33,3.3,3.37,2.67,95,1.63,2.07,0.59,1.04,2.55,3.84,3.04,85
Ca3,3.54,3.48,3.42,3.2,2.48,90,1.41,2.1,0.65,1.01,2.53,3.1,2.8,80
Ca4,3.52,3.48,3.55,2.88,2.42,88,1.15,2.33,0.8,0.91,2.25,2.44,2.69,80
Ca5,3.52,3.34,3.27,2.18,2.26,95,0.97,2.27,0.83,1.08,2.07,2.02,2.5,80
Ca6,3.29,3.17,3.32,1.53,1.96,95,0.88,2.1,0.77,0.86,1.64,1.48,2.34,75
Ca7,3.25,3.25,3.63,1.26,1.62,90,0.74,2.19,0.62,0.59,1.43,1.01,1.85,65
Ca8,3.17,3.05,3.56,0.59,1.34,90,0.76,1.62,0.5,0.27,0.95,0.59,1.14,70
Ca9,2.99,3.03,3.39,0,0,NA,0.64,1.29,0,0,NA,0,0,NA
Ca10,3,3.05,3.28,0,0,NA,0,0,0,0,NA,0,0,NA
