Inia_geoffrensis_(USNM_395614),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.92,3.76,2.9,4.49,1.29,92,2.1,1.57,0,0,NA,0.87,1.36,74
T2,2.14,3.61,2.84,5.61,1.95,88,1.74,1.96,0,0,NA,0.93,1.66,80
T3,2.36,3.37,2.86,5.83,2.12,89,1.96,2.07,0.34,0.44,1.4,1.26,1.63,79
T4,2.56,3.26,2.93,6.05,2.56,89,1.87,2.16,0.43,0.43,1.25,1.14,1.66,79
T5,2.84,3.3,3.05,6.51,2.64,88,1.65,1.95,0.7,0.52,1.1,1.25,1.78,77
T6,2.99,3.32,3.14,6.73,2.76,83,1.47,2.11,0.75,0.49,1.25,1.11,2.13,80
T7,3.2,3.31,3.19,6.74,2.92,81,1.35,2.32,0.54,0.45,1.05,0.79,2.06,88
T8,3.44,3.39,3.23,7.06,3.22,79,1.18,2.14,0.96,0.41,1.35,0,0,NA
T9,3.57,3.42,3.24,6.91,3.38,76,1.28,2.31,0.95,0.43,1.35,1.04,1.77,96
T10,3.74,3.46,3.29,6.96,3.17,75,1.37,2.48,1.33,0.52,1.5,1.27,1.89,102
T11,4,3.59,3.41,7.29,3.3,78,1.39,2.77,1.49,0.53,1.5,1.76,2.71,105
T12,4.29,3.69,3.48,7.6,3.43,79,1.48,2.74,1.5,0.54,1.7,2.53,3.24,101
T13,4.59,3.75,3.54,7.22,3.86,80,1.76,3.08,1.32,0.93,1.55,4.11,3.26,101
L1,4.69,4.01,3.62,7.4,4.14,80,1.54,3.33,0.89,0.88,1.7,6.49,3.95,96
L2,4.95,3.99,3.64,6.5,4.13,84,1.64,3.06,1.04,1.29,1.85,6.19,4.1,98
L3,5.17,3.81,3.78,6.36,4.17,96,1.74,2.83,1.33,1.56,2,5.72,4.17,102
Ca1,5.26,3.82,3.76,5.85,4.75,101,1.53,2.78,1.25,1.13,2.4,5.3,4.28,104
Ca2,5.12,3.85,3.79,5.27,4.64,101,1.61,2.91,0.97,1.16,2.8,4.23,4.48,97
Ca3,5.12,3.89,3.9,4.77,4.23,98,1.54,2.65,0.97,1.2,2.9,3.62,3.8,88
Ca4,5.35,4.07,3.93,4.44,4.32,97,1.22,2.87,1.18,1.32,2.75,2.83,3.81,77
Ca5,5.24,3.85,4.19,4.26,4.61,102,1.05,3.2,1.7,1.26,2.45,2.15,3.37,82
Ca6,5.15,3.75,4.25,3.72,3.85,106,0.84,2.91,1.46,1.04,2,1.61,3.01,78
Ca7,4.79,3.54,4.23,2.74,3.53,107,0.62,3.08,1.28,0.73,1.25,1.09,2.21,80
Ca8,4.42,3.36,4.1,1.71,2.86,105,0.56,2.89,1.03,0.77,0.75,0.53,0.9,84
Ca9,3.93,3.31,3.91,1.01,2.3,106,0.46,2.24,0.72,0.41,0.55,0,0,NA
Ca10,3.55,2.94,3.57,0.47,1.67,100,0.48,1.76,0,0,NA,0,0,NA
Ca11,2.74,2.72,2.78,0,0,NA,0,0,0,0,NA,0,0,NA
