Kogia_breviceps_(PEM_N989),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,2.86,4.81,3.97,1.15,1.08,110,0.15,1.09,0,0,NA,2.56,1.39,60
T2,3.49,3.83,3.51,4.84,2.3,110,4.44,1.61,0,0,NA,2.98,2.03,50
T3,3.81,3.83,3.58,5.66,2.34,105,3.91,1.67,0,0,NA,2.93,2.13,50
T4,4.11,3.96,3.59,6.19,3.16,90,3.97,2.24,0,0,NA,2.31,2.28,55
T5,4.31,4.29,3.44,6.31,3.63,95,3.66,2.39,1.43,1.58,3.4,1.95,2.52,60
T6,4.45,4.42,3.48,6.76,3.53,95,3.57,2.34,1.5,1.31,3.5,1.6,2.68,60
T7,4.53,4.34,3.64,6.88,3.72,100,3.35,2.36,1.76,1.58,3.6,1.41,2.72,NA
T8,4.75,4.39,3.68,7.18,3.9,100,3.46,2.57,2.06,1.76,3.8,1.6,1.77,72
T9,4.83,4.66,3.79,7.37,4.04,105,3.63,2.84,2.81,1.92,4.1,2.52,2.91,85
T10,4.83,4.66,4.16,7.8,4.08,110,3.44,2.98,2.73,1.98,4.3,3.52,3.33,90
T11,5.08,4.88,4.33,7.9,4.14,112,3.46,2.91,3.06,1.94,4.4,4.49,3.93,92
T12,4.96,5.26,4.53,8.02,4.18,110,3.4,3.1,2.93,2.18,4.7,5.16,4.02,97
L1,5.13,5.31,4.68,NA,4.29,NA,3.32,3,2.81,2.45,4.8,6.2,4.31,90
L2,5.16,5.18,5,NA,4.34,NA,3.09,3.21,2.85,2.18,4.8,6.96,4.53,90
L3,5.73,5.48,4.93,NA,4.15,NA,3.04,3.11,2.31,2.21,4.9,6.9,4.64,90
L4,5.58,5.85,5.27,9.49,4.14,108,2.74,3.28,2.82,2.37,4.7,6.79,4.69,90
L5,5.73,6.03,5.34,9.79,4.36,107,2.51,3.3,2.5,2.12,4.7,6.74,4.98,90
L6,6.03,5.54,5.11,9.66,4.3,105,2.72,3.32,2.37,2.2,4.8,6.52,5.28,90
L7,6.08,5.81,5.32,8.84,4.25,106,3.1,3.23,2.14,2.1,5.2,6.18,5.19,90
L8,6.05,5.75,5.39,8.17,4.22,106,3.09,3.19,2,1.96,5.9,6.27,5.03,90
L9,6.14,5.78,5.21,7.15,4.12,106,2.96,3.21,1.91,1.95,5.9,5.9,5.08,90
L10,6.06,5.7,5.29,6.04,3.89,107,2.91,3.14,1.93,1.88,5.8,5.85,5.16,90
Ca1,5.8,5.77,5.31,4.97,2.99,100,2.64,2.89,1.69,1.61,5.2,5.27,4.72,90
Ca2,5.79,5.88,5.51,4.64,2.72,98,2.18,2.93,1.31,1.14,4.9,4.8,4.51,90
Ca3,5.44,5.86,5.42,3.7,2.54,95,1.83,2.85,1.25,1.09,4.4,3.93,3.89,90
Ca4,5.15,5.58,5.27,3.1,2.35,93,1.52,2.74,0.93,0.9,3.75,2.82,3.36,90
Ca5,5.96,5.57,5.34,2.73,2.29,90,1.2,2.55,0.82,0.74,3.4,2.2,2.83,90
Ca6,4.84,5.38,5.29,2.04,3.03,90,1.02,2.48,0,0,NA,1.64,2.48,90
Ca7,4.69,5.13,5.1,1.9,3.18,90,0.89,2.42,0,0,NA,1,2.13,90
Ca8,4.51,4.84,4.89,1.61,2.87,90,0.76,2.07,0,0,NA,0.57,1.73,90
Ca9,4.27,4.38,4.57,1.28,2.61,90,0.67,2.23,0,0,NA,0,0,90
Ca10,4.1,4.25,4.39,1.1,2.24,95,0.58,1.84,0,0,NA,0,0,NA
Ca11,3.89,4.1,4.26,0.85,2.03,98,0.62,1.67,0,0,NA,0,0,NA
Ca12,3.57,3.93,3.98,0,0,NA,0.55,1.83,0,0,NA,0,0,NA
Ca13,3.25,3.74,3.68,0,0,NA,0.38,1.63,0,0,NA,0,0,NA
Ca14,2.7,3.72,3.63,0,0,NA,0,0,0,0,NA,0,0,NA
