Balaenoptera_edeni_(NRM_558399),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,9.59,20.1,15.4,9.94,5.87,94,12.2,7.31,0,0,NA,26.4,7.02,70
T2,11.89,21.3,14.6,8.96,4.97,97,12,8.07,2.38,3,4.5,25.9,5.92,66
T3,13.74,23.2,15.1,13.96,8.44,93,13,9.07,4.34,3.15,4.8,21.4,7.4,64
T4,15.3,22.6,14.1,16.4,10.91,86,15.2,9.84,7.27,5.87,10.3,22,10.28,75
T5,16.7,21.6,16.6,19.6,12.36,85,12.3,10.97,8.46,7.65,12.1,26.6,14.06,78
T6,18.3,21.6,16.1,24.3,15.7,82,11.5,10.91,8.36,8.73,13.8,29.9,17.3,87
T7,19.5,21.9,16.8,26.6,16,86,12.1,11.42,7.96,10.72,15,33.3,17.5,84
T8,19.5,22,15.8,27.1,16.1,97,11.9,10.95,9.22,8.26,15.4,34.8,17.3,92
T9,20.1,22.6,16.8,28.9,15.4,103,15.1,12.42,9.17,8.85,15.3,35.7,16.5,93
T10,20.6,21.9,16.8,30.2,15.85,111,14.7,12.33,10.14,10.63,17.9,36.6,16.4,96
T11,21.5,22.3,16.7,31.6,14.8,119,14.5,12.8,10.93,9.94,18.8,38.2,18.4,95
T12,22,23.1,16.8,33.1,15.2,122,13.9,13.19,12.45,9.02,18.5,38.5,18,96
T13,22.4,23.3,16.5,34.5,15.3,118,13.8,13.09,14.5,8.54,18.7,40.3,18.6,98
L1,22.2,23.7,17.8,36,15.3,122,14.1,12.92,15.2,8.55,18.4,35.2,18.1,97
L2,22.9,24.2,17.8,38.5,16.2,121,13.4,12.92,11.96,8.85,18.2,35.7,17.8,90
L3,23.5,24.5,19.3,39.4,15.6,120,13.5,13.31,14.55,9,18.7,36.6,18.8,89
L4,24.1,24.9,20,40.8,15.1,120,13.3,13.24,15.16,8.99,18.3,36.2,19,88
L5,25.1,25.5,20.1,42.4,15.5,123,10.7,12.75,14.61,7.91,17.9,34,18.2,86
L6,24.3,25.4,20.3,43,14.6,127,10.3,13.12,12.15,7.09,18.6,34.1,16.4,87
L7,25.8,26.3,19.6,43.5,15.4,124,10.4,12.55,12.94,7.52,17.4,29.3,15.9,86
L8,25.4,25.8,20.1,44,14.8,121,9.5,12.85,12.33,7.38,17.6,30.9,16.7,85
L9,25.7,26.4,19.8,41.5,15.3,120,9.7,12.86,11.79,7.26,17.5,27.5,17.2,87
L10,26.9,27,21.4,39.7,15.2,124,9.9,12.51,11.01,7.26,17.4,27.8,17.4,86
L11,27.6,27,22.2,36.9,15.8,120,11.1,13.05,10.49,6.73,16.6,25.6,17.2,89
L12,27.6,27.5,21.8,34,14.8,115,11.2,12.24,9.55,6,16,24.4,16.3,90
L13,26.9,28.2,21.6,30.1,14,114,10.2,12.6,7.38,8.14,15.6,21.6,16.1,89
Ca1,27,28.1,22.4,26.7,12.6,110,9.4,12.73,5.83,7.85,14.9,19.7,15.6,85
Ca2,27,27.3,23.7,21.2,9.14,110,8.5,11.79,5.35,6.71,13.9,17.4,18.15,92
Ca3,25,28.1,24.7,15.4,7.56,114,6.7,11.3,5.48,7.48,14,13.4,15.9,94
Ca4,25.4,25.9,26.2,11.7,7.72,108,6.4,10.75,5.48,9.22,12.2,10.8,18.8,91
Ca5,25.6,28.3,24.2,9.5,6.02,118,5,10.42,4.46,8.85,10.9,8.1,17.1,90
Ca6,23.8,26.4,26.3,5.9,5.28,110,4.4,9.71,4.84,7.92,10,5.5,15.6,89
Ca7,24.4,26,24,1.9,4.44,117,3.9,10.95,3.09,6.43,8.7,3.7,13,80
Ca8,22.5,26.3,24.7,1.5,3.81,114,3.6,8.36,2.86,6.49,6.9,2.1,6.6,78
Ca9,21,21.9,23.2,0,0,NA,2.8,8.04,2.31,4.43,3.8,0,0,NA
Ca10,19.3,20,22,0,0,NA,2.5,6.95,1.86,3.22,2.9,0,0,NA
Ca11,15.3,18.3,19.7,0,0,NA,1.3,5.56,1.56,2.54,1.6,0,0,NA
