Kogia_breviceps_(SMNS_7618),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,2.52,5.99,4.72,3.13,0.85,110,3.93,1.54,0,0,NA,3.16,2.18,50
T2,3.65,5.95,4.51,5.46,2.03,100,4.03,1.5,0,0,NA,3.9,2.36,40
T3,4.2,5.75,4.5,6.23,2.94,95,4.13,1.86,1.03,1.67,3.6,4.87,2.65,40
T4,4.32,5.13,4.33,7.67,4.36,95,4.31,2.04,1.66,2.68,4.5,4.19,2.34,55
T5,4.33,5.3,4.25,7.91,4.46,100,4.24,2.23,1.95,2.85,4.8,3.97,2.72,60
T6,4.54,5.64,4.39,8.12,4.93,103,4.4,2.25,2.36,2.61,4.9,3.02,3,68
T7,5.16,5.37,4.48,8.74,4.92,103,4.34,2.43,2.6,2.44,4.95,2.92,2.54,65
T8,5.27,5.62,4.41,8.92,5.01,105,4.28,2.58,3.34,2.76,5,3.38,2.71,80
T9,5.44,6.3,4.51,9.68,5.37,105,4.65,2.91,3.72,2.92,5.15,4.31,4.1,85
T10,6,6.35,4.72,9.73,5.48,110,4.29,3.1,3.84,2.82,5.1,4.94,4.84,90
T11,6.12,6.21,4.9,10.18,4.89,110,4.22,3.1,3.95,2.83,5.4,5.93,4.69,95
T12,6.22,6.1,5.21,10.79,5.44,110,4.02,3.03,4.17,2.8,5.3,6.53,4.68,97
L1,6.52,6.02,5.36,12.07,5.95,108,3.61,3.14,4.32,2.52,5.4,7.73,5.1,93
L2,6.56,6.24,5.59,12.55,5.82,105,3.78,3.22,4.19,2.77,5.5,7.85,4.98,90
L3,6.57,6.4,5.87,12.88,5.64,100,3.66,3.48,4.01,2.76,5.7,7.64,5.33,90
L4,6.89,6.65,5.73,12.68,5.7,103,3.54,3.42,3.73,2.88,5.8,7.49,5.54,85
L5,7.33,6.66,5.8,12.59,5.09,103,3.61,3.61,3.67,3.18,5.7,7.78,5.74,90
L6,7.07,6.51,6.04,12.3,5.39,103,3.83,3.61,3.52,3.03,6,7.85,5.81,90
L7,7.14,6.74,6.31,11.56,5.04,105,3.95,3.49,3.7,3.27,6.6,7.56,5.59,90
L8,7.18,6.8,6.45,10.82,4.74,105,3.8,3.47,3.13,3.41,7.3,7.92,6.07,90
L9,6.51,6.66,6.15,9.33,4.15,105,3.26,3.69,3.22,2.96,7.5,7.53,5.25,90
Ca1,7.36,6.56,6.12,8.03,4.06,100,3.8,3.43,3.19,2.79,7.1,7,5.96,90
Ca2,7.4,6.96,6.41,6.86,3.76,100,3.57,3.46,3.02,2.55,6.5,6.12,5.34,90
Ca3,7.26,6.87,6.4,4.71,3.22,98,3.31,3.2,2.89,2.27,6.1,5.42,5.5,90
Ca4,6.97,6.67,6.57,3.6,3.83,95,3.12,3.21,2.71,2.46,5.6,4.78,5.26,90
Ca5,6.58,6.8,6.48,2.66,2.46,90,2.93,2.92,2.4,2.03,5.3,3.9,4.41,90
Ca6,6.16,6.8,6.7,2.37,2.43,90,2.43,2.77,2.01,2,4.7,2.96,3.5,85
Ca7,5.83,6.54,6.56,2.14,4.1,90,2.11,2.73,0,0,NA,2.06,3.16,80
Ca8,5.61,6.23,6.59,1.9,3.87,90,1.73,2.64,0,0,NA,1.29,2.75,75
Ca9,5.39,6,6.18,1.53,3.76,90,1.4,2.63,0,0,NA,0.97,2,75
Ca10,5.16,5.7,6.05,0.93,3.28,90,1.04,2.95,0,0,NA,0,0,NA
Ca11,5.01,5.46,5.83,0,0,NA,1.17,2.64,0,0,NA,0,0,NA
Ca12,4.72,5.27,5.35,0,0,NA,0.95,2.6,0,0,NA,0,0,NA
