Kogia_breviceps_(USNM_572932),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,2.84,5.8,4.95,0,0,NA,3.45,1.21,0,0,NA,1.54,1.56,74
T2,3.41,5.52,4.87,6.34,1.87,110,3.6,1.79,0,0,NA,2.44,2.01,80
T3,3.95,5.3,4.87,7.77,3.3,109,3.67,1.72,0.64,0.78,2.55,2.2,2.26,88
T4,4.25,5.43,4.79,8.72,4.08,112,3.85,2.16,0.74,0.99,3.55,2.12,2.63,86
T5,4.57,5.53,4.58,9.15,3.57,112,3.83,2.18,0.83,0.95,3.85,2.14,2.69,90
T6,4.77,5.64,4.64,9.8,4.25,105,3.99,2.2,1.54,1.29,4,2.26,2.56,87
T7,5.07,5.48,4.63,9.97,4.27,101,4.14,2.42,2.45,1.65,4.3,1.99,2.62,87
T8,5.2,5.48,4.73,10.7,4.7,103,4.09,2.48,2.87,1.79,4.8,2.46,2.8,93
T9,5.22,5.74,4.88,11.16,5,109,4.17,3.03,3.87,2.01,5,3.97,2.76,102
T10,5.41,5.88,5.1,11.6,5.1,113,4.06,3.44,3.66,2.08,5.15,5.01,3.58,100
T11,5.76,6.08,5.21,12.27,5.4,113,3.81,3.21,4.06,2.16,5.3,6.21,3.83,99
T12,6.33,6.38,5.41,12.41,5.05,112,3.71,3.51,4.02,2.15,5.4,7.11,4.63,98
L1,6.28,6.47,5.58,13.4,5.11,111,3.75,3.25,4.07,2.31,5.7,8.22,4.98,95
L2,6.38,6.55,5.72,13.66,5.19,108,3.42,3.17,4.02,2.57,5.7,7.54,5.03,95
L3,6.49,6.63,5.89,13.83,5.42,107,3.45,3.17,3.89,2.46,5.75,7.44,5.09,95
L4,6.83,6.58,5.99,13.75,5.67,102,3.2,3.21,4.28,2.57,5.75,7.29,5.53,94
L5,6.8,6.68,6.03,13.33,5.7,107,3.44,3.17,4.18,2.51,5.8,6.81,5.77,92
L6,6.71,6.59,6.74,12.82,5.32,107,3.15,3.09,4.11,2.52,6.4,6.62,5.77,90
L7,6.78,6.58,6.33,12.67,5.08,108,3.24,3.2,3.67,2.71,6.55,6.77,5.97,90
L8,6.42,6.89,6.86,11.55,5.31,110,3.14,3.01,3.62,2.59,6.8,6.17,6.02,90
L9,6.8,7.12,6.96,10.26,5.56,112,3.09,3.32,3.33,2.43,6.8,5.51,6.09,90
L10,6.69,6.7,6.49,8.3,4.64,109,3.28,3.13,2.68,2.02,6.85,5.36,6.27,89
Ca1,6.58,6.73,6.69,8.26,4.4,106,3.07,3.37,2.22,1.79,6.5,4.66,5.66,90
Ca2,6.49,6.81,6.68,7.09,3.67,108,2.35,3.43,2.08,1.71,6.1,4.39,5.69,90
Ca3,6.18,6.65,6.63,5.5,2.94,104,2.26,3.13,1.85,1.44,5.45,3.52,5.74,90
Ca4,5.83,6.75,6.7,4.33,3.02,94,1.77,3.11,1.69,1.58,4.7,2.62,4.72,88
Ca5,5.67,6.72,6.66,4.22,3.02,92,1.36,2.9,1.41,1.15,4.25,2.2,3.79,89
Ca6,5.36,6.63,6.47,2.85,2.81,95,1.17,3.01,1.58,1.3,3.7,1.67,3.32,85
Ca7,5.13,6.15,6.31,2.71,2.63,99,0.97,3.02,1.06,1.18,3.1,0.99,2.68,84
Ca8,4.94,5.87,6.2,2.19,2.16,98,0.82,2.99,1.01,0.99,2.95,0.63,1.98,86
Ca9,4.71,5.61,5.88,1.48,1.99,96,0.74,2.83,0.99,1.04,2.45,0,0,NA
Ca10,4.42,5.31,5.67,1.23,1.6,96,0.65,2.8,0.76,0.81,1.7,0,0,NA
Ca11,4.13,5.09,5.36,0.79,1.57,97,0.58,2.36,0.65,0.54,1.35,0,0,NA
Ca12,3.8,4.78,5.02,0,0,NA,0.6,2,0,0,NA,0,0,NA
Ca13,3.06,4.81,4.62,0,0,NA,0.62,1.16,0,0,NA,0,0,NA
