Kogia_sima_(PEM_N1564),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,NA,NA,NA,0.95,0.7,90,3.74,0.95,0,0,NA,1.05,0.79,78
T2,3,3.83,2.75,3.9,1.46,75,3.37,1.23,0,0,NA,NA,NA,55
T3,2.97,3.63,2.64,5.65,2.08,95,3.2,1.56,0,0,NA,2.84,1.83,50
T4,3.01,3.43,2.73,6.14,2.35,100,3.34,1.85,0,0,NA,2.45,1.73,50
T5,3.26,3.54,2.63,6.74,2.52,106,3.3,2.05,0,0,NA,2.34,1.8,63
T6,3.31,3.71,2.75,6.88,2.51,108,3.31,2.11,0.9,0.7,3.5,2.32,1.93,65
T7,3.4,3.92,2.82,7.53,2.68,115,3.06,2.23,1.1,0.73,3.5,2.62,1.93,60
T8,3.76,4.08,2.92,7.75,2.85,112,3.03,2.27,1.16,0.81,3.4,2.1,2.04,66
T9,3.67,4.24,3.08,8.18,3.07,111,2.88,2.47,2.25,1.53,3.5,2.36,2.06,73
T10,3.98,4.32,3.1,8.45,3.42,113,2.95,2.26,2.43,1.61,3.2,3.23,2.74,85
T11,3.98,4.48,3.41,8.85,3.37,106,2.88,2.32,2.97,1.55,3.2,4.77,3.39,90
T12,4.2,4.54,3.64,9.2,3.47,108,2.84,2.31,2.89,1.5,3.25,5.72,3.35,90
T13,4.15,4.68,3.72,9.71,3.47,107,2.72,2.3,2.69,1.61,3.3,6.88,3.85,90
L1,4.56,4.81,4,9.78,3.2,108,3.09,2.23,2.84,1.56,3.5,7.02,3.41,90
L2,4.66,4.82,3.92,9.82,3.39,103,2.99,2.14,2.78,1.53,3.6,7.05,3.8,90
L3,4.72,5.13,4.25,9.53,3.35,100,3.14,2.24,2.58,1.65,3.9,6.8,3.8,90
L4,4.92,5.2,4.28,9.52,3.47,104,3.01,2.2,2.65,1.75,4.1,6.45,3.54,90
L5,4.99,5.11,4.44,9.04,3.48,108,2.89,2.24,2.59,1.76,4.1,6.32,3.71,90
L6,5.36,5.2,4.56,8.39,4.31,110,3.08,2.27,2.13,1.9,4.1,5.96,3.93,92
L7,5.06,5.17,4.51,7.65,4.19,108,3.02,2.2,2.01,1.6,4.3,5.65,4.18,92
L8,5.09,5.21,4.58,6.89,4.03,108,2.78,2.29,1.59,1.74,4.5,5.84,4.07,91
L9,4.86,5.12,4.65,5.95,3.49,108,2.76,2.16,1.6,1.54,4.6,5.86,4.28,90
L10,5.09,5.26,4.66,5.3,3.36,104,2.53,2.23,1.73,1.51,4.7,5.77,4.06,90
Ca1,4.74,5.28,4.63,4.77,3.04,110,2.73,2.26,1.36,1.32,4.9,5.76,3.75,90
Ca2,4.96,5.26,4.52,3.85,3.03,110,2.45,2.16,1.47,1.05,4.6,5.53,3.71,90
Ca3,4.99,5.06,4.63,3.44,2.88,110,2.35,2.14,1.31,0.85,4.3,5.4,3.13,90
Ca4,4.83,5.12,4.64,2.51,2.72,108,2.07,1.99,1.03,0.78,4,4.6,3.2,90
Ca5,4.7,4.97,4.49,2.31,2.46,105,1.85,2.08,0.81,0.82,3.8,4.23,3.03,90
Ca6,4.53,4.97,4.61,2.15,2.84,105,1.6,1.97,0.76,0.78,3.75,3.55,2.9,90
Ca7,4.4,4.89,4.61,2.03,2.81,104,1.27,1.99,0.62,0.58,3.75,2.87,2.65,90
Ca8,4.18,4.75,4.66,1.85,2.44,104,1.13,2.09,0,0,NA,2.15,2.43,90
Ca9,3.95,4.73,4.65,1.82,2.04,105,1.02,2,0,0,NA,1.42,1.91,90
Ca10,3.76,4.45,4.52,1.33,2.02,105,0.93,2.07,0,0,NA,1.07,1.38,87
Ca11,3.58,4.26,4.22,1.22,1.73,105,1.03,1.97,0,0,NA,0.65,1.14,85
Ca12,3.5,4.07,4.16,0.71,1.38,100,0.86,1.78,0,0,NA,0,0,NA
Ca13,3.35,3.91,4.1,0.34,1.45,98,0.71,1.64,0,0,NA,0,0,NA
Ca14,3.21,3.67,3.77,0,0,NA,0.66,1.34,0,0,NA,0,0,NA
Ca15,2.72,3.44,3.36,0,0,NA,0.78,1.08,0,0,NA,0,0,NA
