Kogia_sima_(USNM_593890),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,2.11,3.5,2.8,0,0,NA,2.87,0.87,0,0,NA,1.38,1.41,60
T2,2.59,3.4,2.72,NA,NA,NA,NA,1.22,0,0,NA,1.58,1.58,63
T3,2.95,3.35,2.67,5.76,2.51,95,2.74,1.36,0,0,NA,1.34,1.58,63
T4,3.19,3.25,2.6,6.01,3.06,94,2.96,1.67,0.24,0.45,2.35,1.31,1.81,68
T5,3.35,3.26,2.62,6.56,3.55,90,2.95,2.04,0.41,0.5,2.4,1.44,1.99,70
T6,3.47,3.32,2.65,7.27,3.35,103,2.87,2.04,0.49,0.65,2.5,1.34,2.08,72
T7,3.58,3.48,2.7,7.54,3.42,109,2.8,2.05,0.94,0.88,2.45,1.4,2.09,70
T8,3.65,3.51,2.87,7.59,3.58,113,2.65,2.24,1.37,1.06,2.6,1.21,1.8,73
T9,3.81,3.45,2.94,7.83,3.5,112,2.67,2.42,1.64,1.45,2.65,1.52,2.05,73
T10,3.95,3.74,3.13,8.04,3.93,113,2.74,2.45,1.98,1.4,2.85,2.18,2.68,78
T11,3.94,3.81,3.2,8.1,3.97,111,2.74,2.4,2.08,1.5,2.95,3.07,2.88,84
T12,4.1,3.94,3.37,8.7,3.58,108,2.54,2.46,2.24,1.75,3,4.03,3.15,93
T13,4.16,4.05,3.51,9.09,3.42,101,2.48,2.38,2.44,2.01,3.1,4.74,3.44,88
L1,4.27,4.12,3.56,9.23,3.7,101,2.48,2.37,1.91,1.75,3.35,5.7,3.81,94
L2,4.31,4.15,3.59,9.3,3.66,103,2.44,2.31,2.21,1.67,3.3,5.56,3.78,95
L3,4.37,4.31,3.69,9.1,3.66,103,2.34,2.48,2.32,1.67,3.4,5.5,3.8,91
L4,4.44,4.26,3.69,8.64,3.8,105,2.24,2.4,2.22,1.68,3.45,5.47,4.16,91
L5,4.54,4.23,3.84,8.09,3.69,109,2.31,2.36,2.01,1.67,3.5,5.38,4.27,88
L6,4.6,4.37,3.91,7.55,3.8,107,2.25,2.32,1.91,1.73,3.7,5.17,4.28,86
L7,4.65,4.41,4.03,6.97,4.27,108,2.18,2.43,1.88,1.68,3.8,5.17,4.37,85
L8,4.55,4.39,4.18,6.43,4.26,105,2.06,2.36,1.73,1.73,3.55,5.12,4.4,85
L9,4.56,4.34,4.2,5.94,3.98,106,1.96,2.39,1.68,1.67,3.5,4.83,4.39,87
L10,4.47,4.41,4.29,5.53,3.91,109,1.94,2.37,1.67,1.59,3.4,4.83,4.7,85
L11,4.47,4.46,4.18,4.95,3.93,110,1.79,2.24,1.63,1.34,3.6,4.71,4.51,87
Ca1,4.37,4.57,4.39,4.04,3.58,109,1.7,2.3,1.96,1.76,3.3,4.65,4.3,88
Ca2,4.33,4.52,4.44,3.93,3.22,112,1.49,2.33,1.97,1.59,3.2,4.07,4.13,89
Ca3,4.09,4.47,4.59,3,2.99,109,1.31,2.15,1.68,1.46,3.2,3.92,3.75,89
Ca4,3.97,4.33,4.31,2.72,2.96,101,1.36,2.21,1.05,1,2.6,3.43,3.75,91
Ca5,3.82,4.36,4.27,2.47,3.03,100,1.13,2,0.85,0.66,2.4,2.86,3.35,91
Ca6,3.63,4.38,4.45,1.51,2.73,99,1.05,2.04,0.89,0.78,2,2.27,3.06,92
Ca7,3.47,4.25,4.47,1.63,2.31,97,0.95,2.16,0.87,0.83,1.9,1.55,2.68,87
Ca8,3.33,4.1,4.39,1.48,2.06,96,0.79,2,0.77,0.85,1.8,1.07,2.02,83
Ca9,3.25,3.93,4.3,1.32,1.88,96,0.73,1.95,0.75,0.6,1.55,0.48,1.17,82
Ca10,3.06,3.96,4.33,1.01,1.58,98,0.63,1.95,0.38,0.4,1.5,0,0,NA
Ca11,2.95,3.56,4.03,0.74,1.49,101,0.52,1.82,0.37,0.37,1.25,0,0,NA
Ca12,2.72,3.41,4.11,0.41,1.25,99,0.38,1.73,0.31,0.32,0.85,0,0,NA
Ca13,2.43,3.16,3.62,0,0,NA,0.55,1.31,0,0,NA,0,0,NA
Ca14,1.97,3.25,3.44,0,0,NA,0,0,0,0,NA,0,0,NA
