Lagenorhynchus_acutus_(USNM_504153),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.35,4.82,3.7,3.3,0.71,121,2.39,1.14,0,0,NA,3.06,1.25,86
T2,1.89,4.26,3.57,4.21,0.98,124,2.29,1.49,0,0,NA,3.42,1.49,90
T3,2.28,4.04,3.34,5.3,1.21,131,2.7,1.53,0.48,0.47,2.2,3.33,1.59,95
T4,2.67,3.98,3.33,5.48,1.3,133,2.92,1.62,0.84,0.74,2.9,3.48,2.19,98
T5,2.8,3.95,3.48,5.58,1.39,132,3.02,1.46,1.55,0.85,3.5,3.64,1.84,95
T6,2.98,4.05,3.59,5.44,1.35,129,2.84,1.34,2.04,0.99,3.9,3.88,1.95,99
T7,3.12,4.16,3.68,5.86,1.45,128,2.92,1.36,2.1,1.22,4.25,4.5,2.09,100
T8,3.16,4.2,3.85,6.47,1.46,127,2.94,1.52,2.08,1.23,4,5.22,2.15,100
T9,3.58,4.27,3.91,6.85,1.67,125,2.84,2.04,1.98,1.05,4.1,6.03,2.22,94
T10,3.36,4.34,3.94,7.59,1.78,123,2.82,1.82,1.94,1.11,4.5,6.5,2.37,93
T11,3.45,4.51,4,7.87,1.81,120,2.86,1.87,1.61,0.97,4.6,6.61,2.54,95
T12,3.31,4.53,4.1,8.26,1.97,118,2.86,1.97,1.5,0.96,4.5,7.18,2.45,99
T13,3.48,4.66,4.22,8.66,2.12,116,2.91,1.92,1.4,0.89,4.3,8.47,2.37,100
T14,3.44,4.78,4.27,9.16,2.24,113,2.86,1.96,1.6,0.86,4.6,9.7,2.27,101
T15,3.44,NA,NA,9.03,2,111,2.84,2.08,1.14,0.91,4.35,11.22,2.42,102
L1,3.34,5.02,4.55,9.67,2.2,109,2.97,1.98,0.7,1.17,4.15,11.2,2.09,98
L2,3.32,4.98,4.57,9.63,2.17,105,2.9,2.03,1.11,0.92,4.45,11.2,2.17,96
L3,3.3,5.02,4.71,9.89,2.34,103,2.7,1.78,0.65,1.33,4.2,11,2.16,91
L4,3.23,5.15,4.88,9.39,2.05,104,2.75,1.88,0.66,1.04,4.45,10.46,2.27,87
L5,3.13,5.16,5.08,9.19,2.05,104,2.71,1.78,0.58,1.39,4.1,10.19,2.29,86
L6,3.07,5.11,5.21,9.39,2.06,101,2.57,1.79,0.73,1.57,4.2,9.47,2.22,83
L7,3.01,5.11,5.25,9.57,1.85,101,2.8,1.7,0.64,1.11,4.15,8.9,2.04,87
L8,3.02,5.18,5.19,9.72,1.98,98,2.88,1.6,0.6,1.21,4.2,8.65,2.01,89
L9,3.02,5.35,5.19,9.75,1.95,95,2.98,1.81,0.29,1.02,4.3,8.52,1.99,92
L10,2.97,5.29,5.3,9.67,1.97,97,2.96,1.61,0.38,1.24,4.5,8.22,2.03,94
L11,2.93,5.5,5.18,9.32,1.91,94,3.04,1.79,0.46,1.22,4.7,8.15,2,94
L12,2.94,5.3,5.21,9.57,1.98,92,2.84,1.49,0.42,1.12,4.6,7.66,1.85,97
L13,2.81,5.47,5.25,9.25,1.76,92,2.82,1.41,0.39,1.05,4.55,7.5,1.79,99
L14,2.84,5.36,5.41,8.74,1.75,88,2.71,1.66,0.3,0.81,4.7,7.14,1.75,101
L15,2.81,5.35,5.46,8.64,1.62,89,2.76,1.43,0.3,0.74,4.9,7.08,1.71,103
L16,2.75,5.47,5.46,8.76,1.63,87,2.57,1.45,0.22,0.99,4.85,7.01,1.7,104
L17,2.65,5.46,5.67,8.77,1.59,85,2.35,1.62,0.28,0.55,5.05,6.69,1.72,108
L18,2.77,5.45,5.59,8.53,1.59,80,2.34,1.52,0.31,0.55,5.15,6.15,1.56,107
L19,2.7,5.61,5.53,8.59,1.44,79,2.24,1.56,0.41,0.85,5.05,6.17,1.58,107
Ca1,2.66,5.62,5.67,8.48,1.43,78,2.29,1.52,0.74,0.53,5.55,6.01,1.47,106
Ca2,2.59,5.53,5.65,8.3,1.6,77,2.26,1.43,0.89,0.62,5.75,5.85,1.49,104
Ca3,2.52,5.62,5.43,8.01,1.54,78,2.21,1.51,0.94,0.76,5.7,5.77,1.67,96
Ca4,2.55,5.68,5.55,8.16,1.45,72,2.12,1.43,0.96,0.66,5.95,5.56,1.63,94
Ca5,2.5,5.64,5.5,7.97,1.33,66,2.22,1.42,1.04,0.68,5.9,5.62,1.68,90
Ca6,2.45,5.68,5.3,8.17,1.33,63,1.86,1.5,0.82,0.8,6.15,5.55,1.78,87
Ca7,2.56,5.7,5.6,8.03,1.42,60,1.77,1.52,0.86,0.6,6,4.92,1.82,88
Ca8,2.42,5.66,5.71,7.79,1.55,58,1.62,1.58,0.88,0.79,5.7,4.97,1.76,87
Ca9,2.44,5.76,5.7,7.65,1.45,63,1.79,1.63,0.92,0.79,5.5,4.86,1.71,81
Ca10,2.46,5.89,5.74,7.13,1.58,62,1.78,1.59,0.93,0.86,5.45,4.47,1.91,80
Ca11,2.52,5.83,5.79,7.03,1.48,62,1.7,1.52,0.99,0.69,5.2,4.35,2.02,80
Ca12,2.54,5.76,5.75,6.7,1.48,64,1.47,1.66,1.17,0.81,5.25,4.09,2.12,77
Ca13,2.49,5.82,5.81,6.3,1.52,65,1.3,1.6,1.29,0.7,4.95,3.79,1.72,78
Ca14,2.46,5.77,5.75,5.91,1.59,63,1.35,1.64,1.36,0.72,4.6,3.69,1.54,79
Ca15,2.51,5.61,5.83,5.51,1.68,66,1.01,1.72,1.38,0.69,4.25,3.26,1.55,76
Ca16,2.54,5.67,5.79,4.94,1.75,68,0.95,1.58,1.15,0.59,3.8,2.92,1.57,73
Ca17,2.46,5.52,5.8,4.65,1.89,69,1.01,1.56,1.18,0.61,3.55,2.51,1.54,73
Ca18,2.4,5.42,5.87,3.69,1.92,68,0.79,1.56,1.21,0.66,3.1,2.13,1.55,70
Ca19,2.51,5.38,5.68,3.25,1.98,72,0.72,1.54,1.01,0.57,2.9,1.6,1.5,73
Ca20,2.53,5.26,5.68,2.97,2.12,71,0.69,1.68,0.77,0.55,2.4,1.06,1.43,76
Ca21,2.58,5.14,5.69,2.8,2.04,84,0.62,1.67,0.76,0.61,1.9,0.75,1.12,88
Ca22,2.73,4.92,5.83,2.44,2.11,114,0.56,1.76,0.73,0.63,1.65,0,0,NA
Ca23,2.79,4.7,5.75,1.73,1.8,116,0.43,1.7,0.7,0.66,1.15,0,0,NA
Ca24,2.89,4.51,5.69,1.44,1.9,116,0.4,1.95,0.51,0.53,0.75,0,0,NA
Ca25,2.85,4.42,5.53,1.04,1.97,116,0.28,1.76,0.44,0.51,0.55,0,0,NA
Ca26,2.68,4.31,5.38,0.63,1.41,108,0.25,1.56,0,0,NA,0,0,NA
Ca27,2.33,4.19,4.71,0,0,NA,0,0,0,0,NA,0,0,NA
Ca28,1.58,4.18,4.29,0,0,NA,0,0,0,0,NA,0,0,NA
