Lagenorhynchus_albirostris_(SMNS_7591),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.12,4.43,4.36,2.85,1.07,117,2.35,1.38,0,0,NA,3.07,1.45,60
T2,1.35,4.77,3.79,3.98,1.13,120,2.38,1.91,0.8,0.75,3.5,2.38,1.6,60
T3,1.73,4.85,3.59,4.57,1.22,118,3,2.14,1.12,0.98,2.8,2.54,1.85,65
T4,2,4.58,3.73,4.86,1.16,124,2.78,2.44,1.35,0.89,3.3,2.69,1.68,74
T5,2.24,4.45,3.75,5.12,1.37,130,3.03,2.45,1.56,0.87,3.6,2.66,1.84,85
T6,2.45,4.47,3.77,5.56,1.55,122,3.12,2.12,1.64,0.83,3.6,3.13,2.1,95
T7,2.55,4.36,3.95,5.99,1.87,117,3.04,1.9,2.05,1.03,3.67,3.95,2.11,100
T8,2.67,4.51,4.15,6.22,1.67,113,3.04,1.78,2.35,1.15,3.73,4.89,2.18,105
T9,2.67,4.57,4.06,7.22,2.17,111,3.08,2.28,2.42,1.35,3.62,5.58,2.07,105
T10,2.74,4.6,4.18,7.85,2.34,108,3.46,2.3,2.21,1.48,3.78,6.52,2.1,103
T11,2.83,4.62,4.16,7.97,2.22,105,3.41,2.32,1.8,1.3,4.14,7.3,1.94,103
T12,2.82,4.68,4.28,8.47,2.12,104,3.4,2.5,1.7,1.21,4.44,8.12,2.05,102
T13,2.8,4.77,4.38,8.69,2.08,105,3.41,2.44,1.82,1.25,4.53,9.36,2.03,104
T14,2.82,4.85,4.31,9.04,2.24,105,3.39,2.41,1.98,1.13,4.64,10.65,1.87,102
L1,2.73,4.84,4.28,9.68,1.87,95,3.25,1.74,2.02,1.31,4.43,11.41,1.5,110
L2,2.56,4.76,4.41,10.59,1.79,94,3.18,1.63,1.61,1.12,4.13,11.22,1.21,108
L3,2.28,4.94,4.42,10.53,1.53,92,3.26,1.6,1.18,1.3,4.02,11.08,1.27,105
L4,2.33,4.88,4.61,10.62,1.44,90,3.31,1.58,1.06,1.14,3.91,11.14,1.54,95
L5,2.33,4.96,4.75,11.14,1.35,90,3.22,1.41,0.9,0.8,3.86,10.37,1.22,90
L6,2.42,4.81,4.56,10.66,1.48,95,3.2,1.49,1.11,0.9,3.84,11.09,1.38,97
L7,2.34,5.06,4.76,10.87,1.44,93,3.23,1.46,0.75,1.07,3.88,10.19,1.5,90
L8,2.3,4.9,4.9,11.16,1.54,92,3.16,1.3,0.73,0.82,3.8,10.13,1.3,90
L9,2.3,4.93,4.65,10.77,1.52,92,3.2,1.46,0.85,0.81,3.35,10.63,1.37,94
L10,2.3,5.16,4.87,11.23,1.49,90,3.09,1.3,0.86,1.09,3.84,9.93,1.38,90
L11,2.31,5.09,5.1,11.26,1.49,90,3.1,1.23,0.85,1.12,4.12,9.92,1.42,90
L12,2.08,5.39,4.69,11.2,1.65,87,3.16,1.36,0.54,1.01,4.55,9.67,1.44,90
L13,2.08,5.33,5.17,10.94,1.49,86,2.99,1.24,0.58,1.04,4.42,9.25,1.36,90
L14,2.09,5.18,5.2,11.26,1.35,85,3.28,1.2,0.43,1.22,4.69,8.01,1.45,92
