Lagenorhynchus_albirostris_(USNM_550208),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.27,4.76,3.84,2.47,0.87,115,2.48,1.38,0,0,NA,2.5,1.05,62
T2,1.57,4.76,3.66,3.93,1.1,118,2.59,1.3,0,0,NA,2.56,1.28,67
T3,1.91,4.54,3.74,4.41,1.27,120,2.76,1.54,0.37,0.52,2.65,2.66,1.63,91
T4,2.28,4.21,3.66,4.88,1.24,126,2.97,1.41,0.65,0.51,2.5,2.53,1.76,97
T5,2.61,4.44,3.7,5.04,1.17,126,3.07,1.58,0.98,0.59,2.7,2.67,1.95,103
T6,2.76,4.36,3.86,4.88,1.54,122,2.95,1.74,1,0.73,3.1,2.85,2.26,109
T7,3.01,4.41,4.01,4.97,1.68,118,2.8,1.89,1.4,0.73,3.4,3.44,2.34,111
T8,3.02,4.5,4.06,5.77,1.86,117,2.81,1.63,1.84,1.32,3.5,4.21,2.34,102
T9,3.02,4.55,4.04,5.89,1.98,115,3,2.02,1.91,1.29,3.6,4.82,2.3,97
T10,3.01,4.54,4.01,6.55,2.24,115,3.03,2.09,1.88,1.13,3.9,6.21,2.13,101
T11,2.99,4.68,4.04,7.3,2.43,113,3.07,2.45,1.74,1.14,4,7.16,2.3,99
T12,3.01,4.83,4.05,7.39,2.24,111,2.93,2.46,1.8,1.16,4.1,8.14,2.26,103
T13,2.91,4.95,4.12,8.05,2.2,110,2.73,2.45,1.94,1.04,4.2,9.11,2.07,105
T14,2.84,4.96,4.12,8.73,2.12,104,2.75,2.17,1.84,1.01,4.05,10.09,1.95,108
T15,2.8,4.86,4.21,9.04,2.07,101,2.75,2.16,1.75,0.83,4,11.07,2.04,109
L1,2.65,4.83,4.29,9.6,1.99,99,2.91,1.83,1.74,0.91,3.85,10.39,1.45,106
L2,2.64,4.85,4.47,9.59,1.92,98,2.76,1.97,0.99,1.19,3.9,10.29,1.63,103
L3,2.58,4.91,4.44,9.91,1.78,97,2.73,1.88,1.17,1,3.8,9.88,1.54,98
L4,2.49,4.93,4.57,9.91,1.72,97,2.85,1.76,0.97,1.2,3.8,9.82,1.57,96
L5,2.47,5.15,4.61,10.52,1.57,97,2.62,1.95,0.73,0.77,3.9,9.92,1.66,94
L6,2.42,5.16,4.6,10.36,1.63,96,2.56,1.66,0.71,1.03,3.7,9.92,1.63,93
L7,2.42,4.9,4.66,10.34,1.46,94,2.6,1.8,0.65,1.15,3.8,9.84,1.81,94
L8,2.41,4.93,4.82,10.42,1.56,95,2.5,1.65,0.6,1.17,4.2,9.21,1.54,97
L9,2.35,4.93,4.99,10.52,1.54,94,2.5,1.61,0.62,1.24,4.05,9.35,1.73,96
L10,2.3,4.95,4.94,10.53,1.55,92,2.75,1.45,0.56,0.95,4.2,8.96,1.7,97
L11,2.25,4.92,4.98,10.69,1.39,92,2.88,1.71,0.47,1.35,4.4,8.51,1.73,95
L12,2.24,5.23,5.17,10.92,1.32,90,2.58,1.36,0.25,1.02,4.3,8.36,1.63,92
L13,2.23,5.13,5.09,11.09,1.58,89,2.62,1.67,0.52,0.95,4.9,8.15,1.68,91
L14,2.19,5.15,5.27,10.89,1.42,88,2.63,1.67,0.49,0.85,5.1,8.14,1.62,90
L15,2.1,5.14,5.33,10.59,1.41,88,2.66,1.32,0.48,0.92,5.15,7.65,1.49,90
L16,2.02,5.05,5.38,10.58,1.41,88,2.7,1.52,0.46,0.95,5.2,7.27,1.6,92
L17,1.99,5.19,5.23,10.29,1.33,88,2.72,1.29,0.41,1.01,5.3,6.75,1.53,91
L18,1.99,5.18,5.21,10.09,1.28,87,2.83,1.44,0.41,0.86,5.45,6.78,1.51,93
L19,1.96,5.18,5.3,9.84,1.25,86,2.51,1.28,0.43,0.86,5.4,6.75,1.45,92
L20,1.96,5.28,5.45,9.54,1.15,85,2.61,1.44,0.45,0.75,5.4,6.57,1.46,93
L21,1.93,5.2,5.47,9.57,1.2,83,2.54,1.33,0.57,0.94,5.5,6.53,1.41,96
L22,1.88,5.19,5.4,9.14,1.21,82,2.64,1.51,0.44,0.76,5.6,6.34,1.35,97
L23,1.83,5.29,5.5,8.86,1.25,82,2.56,1.24,0.51,0.69,5.7,6.25,1.33,97
Ca1,1.92,5.42,5.72,8.53,1.12,80,2.74,1.47,0.76,0.49,5.85,6.33,1.17,98
Ca2,1.81,5.3,5.62,8.15,1.31,68,2.66,1.33,0.53,0.54,5.7,6.12,1.24,95
Ca3,1.83,5.23,5.69,8.36,1.43,70,2.56,1.4,0.84,0.52,5.95,6.18,1.25,94
Ca4,1.81,5.36,5.49,7.94,1.27,70,2.57,1.46,1.17,0.38,6.1,5.92,1.13,90
Ca5,1.81,5.4,5.4,7.62,1.11,72,2.7,1.24,0.7,0.59,5.7,5.67,1.24,88
Ca6,1.77,5.53,5.38,7.76,1.28,73,2.54,1.36,0.9,0.52,5.95,5.62,1.2,87
Ca7,1.72,5.41,5.33,7.88,1.38,73,2.38,1.42,0.65,0.47,5.7,5.3,1.3,86
Ca8,1.75,5.38,5.33,7.64,1.29,73,2.38,1.35,0.77,0.57,5.8,5.18,1.3,85
Ca9,1.78,5.46,5.28,8.07,1.42,78,2.19,1.51,0.85,0.61,5.75,4.93,1.22,83
Ca10,1.7,5.61,5.26,7.58,1.33,76,2.29,1.37,0.96,0.52,5.8,4.82,1.14,81
Ca11,1.73,5.54,5.3,7.6,1.31,75,2.1,1.36,0.84,0.63,5.6,4.63,1.35,82
Ca12,1.66,5.47,5.28,7.56,1.42,74,1.95,1.38,0.77,0.62,5.5,4.52,1.17,79
Ca13,1.75,5.61,5.3,7.35,1.26,72,1.82,1.51,0.83,0.58,5.35,4.52,1.37,78
Ca14,1.72,5.58,5.33,7.39,1.19,70,1.74,1.35,0.78,0.71,5.2,4.26,1.18,77
Ca15,1.77,5.53,5.45,7.24,1.14,69,1.82,1.39,0.78,0.66,5.05,3.96,1.1,76
Ca16,1.78,5.42,5.5,6.91,1.14,70,1.67,1.23,0.78,0.6,4.95,3.9,1.27,74
Ca17,1.8,5.47,5.56,6.74,1.22,72,1.53,1.25,0.75,0.77,4.8,3.56,1.16,69
Ca18,1.82,5.41,5.54,6.17,0.9,67,1.43,1.18,0.92,0.62,4.55,3.59,1.17,66
Ca19,1.9,5.46,5.56,5.63,1.05,64,1.3,1,0.87,0.55,4.35,3.08,1.11,62
Ca20,1.98,5.41,5.47,5.57,1.12,64,1.06,1.31,1.16,0.6,4.2,2.87,1.17,60
Ca21,1.99,5.31,5.57,4.91,1.31,67,1.1,1.18,0.79,0.58,3.25,2.44,0.94,55
Ca22,2.09,5.48,5.79,4.55,1.3,66,1.03,1.22,0.81,0.57,3.05,1.26,1.02,54
