Lagenodelphis_hosei_(PEM_N395),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.59,4.51,3.38,1.65,0.52,120,3,0.83,0,0,NA,3.43,1.11,60
T2,1.19,4.48,3.14,4.44,0.68,134,3.4,1.37,0,0,NA,4.34,1.2,83
T3,1.76,4.07,3.04,4.4,0.69,140,3.5,1.86,0.54,0.54,3.5,4.13,1.68,90
T4,2.4,3.83,3.09,4.71,0.84,135,3.7,2.31,0.75,0.87,3.7,4.28,1.91,95
T5,2.82,3.7,3.12,4.35,1.09,131,3.5,1.99,1.32,0.83,3.8,4.57,2.09,100
T6,3.24,3.72,3.08,4.62,1.33,125,3.6,1.74,1.48,0.99,3.6,5.34,2.3,102
T7,3.29,3.67,3.23,5,1.35,122,3.7,1.68,1.73,1,3.9,6.14,2.66,105
T8,3.45,3.76,3.27,5.65,1.61,120,3.7,1.74,2,1.04,4.2,6.56,2.67,105
T9,3.57,3.82,3.25,6.58,1.74,116,3.7,1.99,2.14,0.99,4.6,7.32,2.47,104
T10,3.65,3.99,3.31,7.39,1.97,115,3.6,1.86,2.19,1.34,5.2,7.6,2.45,100
T11,3.6,4.08,3.37,7.79,2.09,115,3.4,1.77,2.29,1.25,5,7.68,2.49,100
T12,3.7,4.18,3.41,8.07,1.9,114,3.3,1.85,2.19,1.2,4.9,7.84,2.46,100
T13,3.61,4.15,3.59,8.43,2.09,114,3.1,1.78,2.15,1.14,NA,8.45,2.46,100
T14,3.61,4.23,3.58,9.3,2.02,108,3.31,1.84,1.95,1.04,4.4,9.62,2.33,105
T15,3.47,4.36,3.5,9.73,2.06,108,3.2,1.71,1.98,1.08,4.35,11.78,2.14,110
L1,3.47,4.27,3.6,10,1.77,107,3.17,1.83,1.41,0.92,4,11.98,1.96,108
L2,3.29,4.33,3.67,10.19,1.72,105,3.39,1.65,1.06,1.02,3.9,11.41,1.78,102
L3,3.17,4.32,3.8,10.38,1.75,101,3.4,1.77,0.96,0.86,3.7,11.12,1.78,102
L4,3.06,4.33,3.92,10.42,1.74,100,3.26,1.67,0.91,0.83,3.75,11.05,1.85,100
L5,3.02,4.34,4.06,10.54,1.72,100,3.17,1.68,0.63,0.92,3.6,10.76,1.86,98
L6,2.93,4.24,4.07,10.51,1.73,99,3.05,1.66,0.66,0.89,3.8,10.52,1.95,95
L7,2.82,4.38,4.13,10.9,1.77,98,2.86,1.58,0.55,1,4.1,10.31,1.88,90
L8,2.75,4.4,4.18,10.78,1.73,97,2.92,1.51,0.44,0.95,3.9,10.21,1.9,90
L9,2.76,4.49,4.16,10.73,1.63,92,3,1.53,0.42,0.93,4,10.04,1.91,90
L10,2.74,4.4,4.21,10.53,1.71,90,2.9,1.48,0,0,NA,9.87,1.9,90
L11,2.67,4.5,4.24,10.53,1.75,88,2.91,1.49,0,0,NA,9.56,1.88,90
L12,2.64,4.6,4.2,10.06,1.75,87,2.89,1.5,0,0,NA,9.36,1.75,90
L13,2.53,4.33,4.24,10.01,1.79,85,2.95,1.42,0,0,NA,9.03,1.56,90
L14,2.59,4.5,4.34,9.7,1.68,86,3.05,1.39,0,0,NA,8.51,1.46,90
L15,2.47,4.39,4.37,8.99,1.73,85,3.5,1.36,0,0,NA,8.3,1.4,90
L16,2.46,4.6,4.41,8.91,1.66,82,3.36,1.31,0,0,NA,8.1,1.37,90
L17,2.46,4.5,4.56,8.57,1.72,81,3.12,1.37,0,0,NA,8.03,1.33,88
L18,2.48,4.55,4.57,8.38,1.76,80,3.13,1.4,0,0,NA,7.89,1.43,86
L19,2.37,4.64,4.56,8.93,1.65,79,2.93,1.42,0.33,0.84,4.9,7.75,1.31,80
L20,2.44,4.57,4.61,8.78,1.68,78,2.72,1.41,0.35,0.78,4.9,7.56,1.37,80
L21,2.43,4.54,4.69,8.67,1.64,78,2.7,1.44,0.35,0.86,4.9,7.32,1.28,75
Ca1,2.47,4.58,4.61,8.45,1.72,78,2.64,1.43,0.78,0.66,5.3,7.29,1.28,75
Ca2,2.37,4.62,4.41,8.28,1.68,76,2.5,1.5,0.75,0.67,5.4,7.32,1.39,68
Ca3,2.36,4.5,4.55,8.06,1.55,75,2.44,1.39,0.89,0.66,5.25,7.25,1.19,66
Ca4,2.48,4.56,4.4,8.1,1.49,73,2.27,1.38,0.99,0.65,5.15,7.15,1.47,65
Ca5,2.42,4.61,4.44,7.87,1.47,70,2.12,1.36,0.88,0.52,4.8,7.17,1.53,64
Ca6,2.46,4.63,4.46,7.63,1.58,70,2.04,1.43,0.98,0.59,4.65,6.75,1.59,63
Ca7,2.53,4.59,4.55,7.42,1.73,70,2.1,1.54,0.97,0.65,4.5,6.11,1.42,66
Ca8,2.51,4.59,4.51,6.96,2,69,1.68,1.51,0.95,0.51,4.5,5.87,1.38,67
Ca9,2.48,4.65,4.55,6.54,1.74,70,1.67,1.5,0.96,0.55,4.2,5.87,1.39,67
Ca10,2.44,4.73,4.58,6.06,1.78,72,1.56,1.57,0.98,0.51,4,5.91,1.7,67
Ca11,2.55,4.82,4.55,5.86,1.69,72,1.44,1.46,0.87,0.51,3.75,5.64,1.82,67
Ca12,2.68,4.84,4.62,5.62,1.87,75,1.36,1.59,0.86,0.47,3.4,4.97,1.87,63
Ca13,2.55,4.84,4.76,5.18,1.78,80,1.27,1.73,0.75,0.68,3.2,4.66,1.81,66
Ca14,2.76,4.89,4.52,5.04,1.94,88,1.35,1.8,0.68,0.75,3.15,4.06,1.82,70
Ca15,2.69,4.92,4.64,4.94,1.98,90,1,1.66,0.77,0.66,2.95,3.41,1.66,70
Ca16,2.82,4.94,4.52,4.59,2.15,93,0.96,1.87,0.88,0.69,2.6,2.19,1.34,68
Ca17,2.94,4.84,4.68,4.32,2.08,90,0.95,1.9,0.63,0.75,2.2,1.26,1.21,70
Ca18,3.07,4.55,4.66,3.57,2.47,99,0.86,1.89,0.69,0.75,2,0.53,1.09,80
Ca19,2.21,4.19,4.52,3.02,2.4,105,0.88,2.16,0.46,0.61,1.6,0,0,NA
Ca20,3.3,4.88,4.68,2.38,2.5,107,0.73,2.13,0.47,0.54,1,0,0,NA
Ca21,3.27,4.69,4.6,1.26,2.34,107,0.45,2,0.49,0.47,0.55,0,0,NA
Ca22,3.18,3.56,4.63,0.89,2.21,103,0.38,2.06,0,0,NA,0,0,NA
Ca23,3.02,3.41,4.37,0.57,2.02,98,0.35,1.86,0,0,NA,0,0,NA
Ca24,2.72,3.5,4.08,0,0,NA,0,0,0,0,NA,0,0,NA
