Lagenorhynchus_obliquidens_(USNM_504415),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.25,4.37,3.75,3.6,0.64,126,2.32,1.17,0,0,NA,3.08,1.07,72
T2,1.75,4.2,3.57,4.53,0.78,124,2.32,1.42,0,0,NA,2.52,1.44,85
T3,2.28,4,3.18,5.11,0.76,129,2.64,1.67,0.33,0.41,2.1,2.55,1.5,90
T4,2.65,3.88,3.26,5.37,0.91,129,2.72,1.46,0.66,0.46,2.4,2.7,1.66,93
T5,2.88,3.79,3.41,5.54,1.15,127,2.82,1.15,1.58,0.58,2.85,2.8,1.71,96
T6,2.96,3.75,3.47,6.09,1.63,125,2.92,1.32,1.38,0.62,2.8,3.12,1.61,96
T7,3,NA,NA,6.52,2.02,122,2.85,1.51,1.42,0.71,3.05,3.35,1.55,93
T8,3.01,4.01,3.68,7.08,2.14,116,2.69,1.77,1.7,0.76,3.3,3.86,1.84,97
T9,3.01,4.11,3.64,7.37,1.99,112,2.81,1.64,1.29,0.97,3.4,4.57,1.76,96
T10,2.92,4.15,3.65,7.47,2.08,112,2.73,1.73,1.37,0.8,3.4,5.43,1.83,99
T11,2.89,4.15,3.75,7.91,2.22,114,2.92,1.6,1.17,0.9,3.5,6.5,1.89,98
T12,2.78,4.19,3.8,8.43,2.04,111,2.83,1.58,1.2,0.81,3.75,8.14,1.74,103
T13,2.62,4.13,3.77,8.59,1.88,110,3.14,1.53,NA,NA,NA,9.99,1.53,106
T14,2.53,4.02,3.84,8.88,1.69,103,3.29,1.45,0.85,0.92,3.8,11.06,1.34,108
L1,2.44,4.21,3.83,8.89,1.86,93,3.52,1.45,0.62,0.69,3.4,10.97,1.24,101
L2,2.36,4.21,3.86,9.11,1.31,91,3.3,1.4,0.31,0.42,3.75,10.74,1.35,97
L3,2.33,4.34,3.92,9.26,1.28,87,3.32,1.32,0.3,0.68,4.2,10.48,1.34,96
L4,2.21,4.39,3.95,9.45,1.22,84,3.18,1.27,0.32,0.58,3.9,10.14,1.42,94
L5,2.18,4.37,4.02,9.63,1.25,82,3.06,1.3,0.26,0.63,3.8,9.92,1.34,93
L6,2.12,4.38,4.03,9.55,1.25,80,2.97,1.15,0.21,0.4,3.6,9.51,1.42,90
L7,2.09,4.35,4.11,9.59,1.26,78,2.84,1.17,0.19,0.36,3.65,9.14,1.23,88
L8,2.04,4.23,4.11,9.91,1.02,75,2.91,1.33,0.18,0.32,3.5,8.98,1.32,87
L9,2.03,4.47,4.17,9.9,1.04,74,2.92,1.16,0,0,NA,8.75,1.21,86
L10,2.04,4.44,4.23,9.81,1.07,72,2.87,1.21,0,0,NA,8.51,1.24,85
L11,1.99,4.4,4.31,9.71,1.03,72,2.84,1.26,0,0,NA,8.32,1.16,85
L12,1.97,4.48,4.24,9.79,0.86,69,2.6,1.05,0,0,NA,8.09,1.12,84
L13,1.95,4.37,4.27,9.45,1,67,2.59,1.16,0,0,NA,8.17,1.16,82
L14,1.95,4.43,4.3,9.26,0.98,65,2.41,1.24,0,0,NA,7.86,1.11,78
L15,1.97,4.43,4.35,9.02,0.97,65,2.32,0.99,0,0,NA,7.65,1.1,79
L16,1.96,4.59,4.35,8.65,0.88,64,2.35,1.16,0,0,NA,7.48,1.1,77
L17,1.94,4.63,4.36,8.48,1.02,64,2.26,1.16,0,0,NA,7.3,1.02,75
L18,2.02,4.61,4.52,8.4,1.06,63,2.15,1.07,0,0,NA,7.3,0.99,75
L19,2.03,4.58,4.57,8.23,1.12,64,2.22,1.29,0,0,NA,6.82,0.96,73
L20,2.02,4.75,4.71,7.92,1.19,65,2.06,1.09,0.19,0.33,4.8,6.39,1.3,72
L21,2.04,4.76,4.8,7.64,1.26,68,2.03,1.26,0.41,0.56,4.8,6.44,1.03,70
L22,2.03,4.74,4.68,7.33,1.08,67,1.97,1.12,0.27,0.38,4.85,6.34,1.32,65
Ca1,2.02,4.85,4.79,7.17,1.22,63,2.24,1.14,0.88,0.5,5.5,6.3,1.07,68
Ca2,2.07,4.85,4.75,6.87,1.31,63,2.03,1.22,1.2,0.52,5.8,6.26,1.07,68
Ca3,2.1,4.8,4.7,6.6,1.53,60,1.98,1.28,1.7,0.61,6,5.76,1.1,66
Ca4,2.17,4.84,4.76,6.22,1.49,58,1.98,1.29,1.8,0.61,6,5.7,1.15,67
Ca5,2.16,4.77,4.8,5.93,1.47,60,1.87,1.24,1.93,0.71,5.95,5.3,1.41,65
Ca6,2.25,4.78,4.79,5.87,1.49,62,1.83,1.4,1.44,0.6,5.75,4.92,1.5,65
Ca7,2.28,4.86,4.85,5.75,1.44,63,1.54,1.43,2.06,0.61,5.6,4.84,1.59,67
Ca8,2.37,4.92,4.98,5.22,1.45,65,1.39,1.51,1.79,0.57,5.4,4.27,1.82,73
Ca9,2.48,4.95,5.02,4.87,1.48,65,1.14,1.7,1.85,0.65,4.9,3.65,1.93,76
Ca10,2.58,5.01,5.08,4.46,1.51,68,1.07,1.76,1.74,0.68,4.1,3.14,1.72,78
Ca11,2.65,5.02,5.09,4.19,1.29,68,0.85,1.74,1.49,0.6,3.65,2.57,1.57,80
Ca12,2.72,4.98,5.1,3.77,1.46,76,0.8,1.76,1.53,0.56,3.5,2.22,1.5,76
Ca13,2.84,4.89,5.12,3.12,1.75,76,0.76,1.82,1.27,0.82,2.95,1.37,1.24,74
Ca14,2.89,4.74,5.2,2.85,1.74,80,0.66,1.62,0.71,0.67,2.4,0.83,1.06,78
Ca15,2.93,4.46,5.09,2.29,1.77,110,0.73,1.74,0.79,0.74,1.95,0.55,1.62,83
Ca16,3.08,4.1,5.18,2,1.76,113,0.54,1.93,0.65,0.9,1.4,0,0,NA
Ca17,3.21,3.83,5.17,1.53,1.67,110,0.43,1.89,0.55,0.65,1.05,0,0,NA
Ca18,3.17,3.61,4.95,1.24,1.64,108,0.51,2.01,0.62,0.55,0.9,0,0,NA
Ca19,2.98,3.45,4.71,0.67,1.66,100,0.45,1.82,0.48,0.46,0.55,0,0,NA
Ca20,2.61,3.46,4.3,0,0,NA,0.49,1.11,0.24,0.25,0.2,0,0,NA
