Lagenorhynchus_obscurus_(SAM_ZM41890),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.17,3.25,2.72,2.6,0.86,120,1.91,0.95,0,0,NA,2.21,1.25,70
T2,1.52,3.16,2.53,3.51,0.86,125,1.93,1.34,0,0,NA,2.21,1.45,85
T3,1.8,2.94,2.51,4.49,1.12,125,2.12,1.81,0.51,0.62,2,1.8,1.46,90
T4,2.12,2.82,2.4,4.72,1.25,125,2.22,1.7,0.98,0.65,2.3,1.64,1.42,95
T5,2.23,3,2.45,5.04,1.33,125,2.18,1.17,0.82,0.58,2.6,2.1,1.54,95
T6,2.31,2.92,2.6,5.51,1.26,120,2.07,1.2,0.94,0.41,2.5,2.84,1.59,100
T7,2.51,3.03,2.66,5.64,1.7,115,1.97,1.64,1.6,0.69,2.7,2.81,1.53,92
T8,2.61,3.04,2.73,5.97,1.94,108,2,1.62,1.06,0.76,2.7,3.15,1.5,91
T9,2.53,3.1,2.72,6.3,2.08,107,1.98,1.6,0.63,0.77,2.7,3.58,1.73,90
T10,2.48,3.2,2.78,6.74,1.85,112,1.94,1.62,0.86,0.79,2.7,4.06,1.63,90
T11,2.5,3.25,2.87,7,1.67,112,1.87,1.62,1.07,0.77,2.8,4.63,1.89,90
T12,2.29,3.22,2.9,7.24,1.54,108,1.8,1.53,0.71,0.77,2.7,5.64,1.85,99
T13,2.32,3.26,3.08,7.2,1.46,102,1.9,1.54,0.76,0.72,2.5,7.81,1.31,110
L1,2.17,3.29,3.04,7.33,1.59,99,2.14,1.47,0.57,0.57,2.85,8.54,1.22,106
L2,2.05,3.36,3.11,6.98,1.51,98,2.14,1.48,0.32,0.56,3,8.75,1.16,103
L3,1.99,3.45,3.09,7.15,1.28,96,2.3,1.44,0.34,0.67,3.2,8.53,1.12,98
L4,1.92,3.57,3.12,7.23,1.2,91,2.28,1.4,0.25,0.62,3.15,8.41,1.16,96
L5,1.9,3.5,3.11,7.13,1.41,88,2.45,1.43,0.42,0.69,3.3,8.25,1.31,93
L6,1.84,3.62,3.31,7.13,1.3,85,2.53,1.25,0.21,0.72,3.4,8.22,1.22,94
L7,1.78,3.4,3.35,7.13,1.36,84,2.6,1.26,0.25,0.7,3.5,8.04,1.24,93
L8,1.69,3.41,3.39,7.21,1.29,82,2.5,1.23,0,0,NA,7.68,1.18,92
L9,1.68,3.64,3.43,7.05,1.28,79,2.54,1.12,0,0,NA,7.36,1.12,90
L10,1.66,3.65,3.46,7.09,1.15,78,2.55,1.06,0,0,NA,7.23,1.04,90
L11,1.67,3.78,3.41,6.85,1.12,79,2.56,1.03,0,0,NA,7.02,1.04,88
L12,1.62,3.73,3.49,6.91,1.08,73,2.61,1.2,0,0,NA,6.9,1.08,85
L13,1.58,3.67,3.41,6.93,1.16,70,2.53,1.08,0,0,NA,6.78,1.1,84
L14,1.59,3.71,3.45,6.88,1.11,70,2.45,1.02,0,0,NA,6.53,1.01,83
L15,1.57,3.82,3.5,6.57,1.09,70,2.42,1,0,0,NA,6.43,1.1,80
L16,1.57,3.68,3.58,6.59,1.05,68,2.4,0.97,0,0,NA,6.28,0.98,78
L17,1.61,3.74,3.59,6.5,1.04,68,2.25,0.88,0.25,0.2,3.8,6.09,1.1,77
L18,1.56,3.67,3.6,6.49,1.06,69,2.15,0.87,0.28,0.43,3.85,5.79,1.15,75
L19,1.57,3.69,3.75,6.29,1.13,68,2.15,0.92,0.33,0.42,4,5.92,1.07,77
L20,1.55,3.75,3.74,6.29,1.09,69,1.85,0.86,0.58,0.39,4.05,5.66,1,76
L21,1.54,3.63,3.83,6.15,1.17,69,2,0.82,0.94,0.42,4.6,5.55,0.99,75
