Lipotes_vexillifer_(AMNH_57333),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,2.31,4.08,3.11,4.03,1.04,74,2.9,1.4,0.41,0.53,1.25,1.86,1.64,89
T2,2.67,3.98,3.04,4.64,1.65,87,3.08,1.81,0.43,0.59,1.25,1.85,1.65,93
T3,2.98,3.83,3.09,4.46,2.42,101,2.87,1.98,0.3,0.49,1.25,2.14,1.97,97
T4,3.45,4.01,2.96,5.67,3.1,92,2.97,2.48,0.4,0.52,1.3,2.13,2.06,90
T5,3.65,4.04,3.15,5.68,2.78,82,2.78,2.41,0.43,0.51,1.65,2.07,2.02,90
T6,4.04,3.67,3.2,5.55,3.08,88,2.81,2.47,0.68,1.16,1.95,1.95,2.09,94
T7,4.22,3.78,3.28,5.59,3.24,100,2.43,2.24,1.46,1,2.05,1.86,1.41,110
T8,4.33,3.96,3.43,5.39,3.81,101,2.13,2.52,2.25,1.07,2.4,2.13,1.76,104
T9,4.47,3.95,3.59,5.74,3.59,100,2.24,2.73,2.16,1.22,2.55,2.62,2.02,109
T10,4.62,4.06,3.64,5.79,3.33,100,2.21,2.37,2.15,1.34,2.85,3.07,2.49,106
L1,4.72,4.06,3.69,NA,2.94,104,2.13,2.35,2.26,1.33,3.15,7.3,3.08,98
L2,4.9,4.08,3.82,6.4,3.59,105,2.17,2.62,2.36,1.45,3.4,7.25,3.18,95
L3,5.02,4.2,4,6.46,3.67,106,2.23,2.83,2.04,1.53,3.45,7.42,3.99,97
L4,5.2,4.16,4.21,6.61,3.77,108,2.17,2.73,1.93,1.56,3.85,6.96,4.31,95
L5,5.32,4.39,4.36,6.47,3.15,110,2.49,2.78,1.94,1.61,3.95,7.12,4.13,92
L6,5.46,4.64,4.56,6.04,3.09,115,2.53,2.52,1.64,1.56,3.85,6.45,5.13,97
L7,5.57,4.83,4.56,5.86,3.1,108,2.46,2.4,2.02,1.56,4.1,6.46,4.27,102
Ca1,5.58,5.09,4.86,5.42,3.47,111,2.36,2.4,1.73,1.39,4.4,5.24,4.4,92
Ca2,5.63,5.16,4.72,5.09,2.99,106,2.46,2.61,1.45,1.15,4.15,4.86,4.39,89
Ca3,5.32,4.98,4.76,4.51,2.42,92,2.36,2.38,1.41,1.22,4.15,4.66,4.3,85
Ca4,5.1,4.98,4.89,NA,NA,NA,2.28,2.47,1.6,0.97,3.2,3.76,4.46,85
Ca5,4.8,4.85,5.1,3.5,2.39,91,1.7,2.57,1.35,0.68,2.4,2.7,3.64,84
Ca6,4.44,4.67,5.06,3.03,2.47,95,1.14,2.63,0.93,0.68,1.6,1.81,2.2,82
Ca7,4.19,4.48,4.96,2.42,2.92,103,0.9,2.39,0.61,0.49,1,1.03,1.83,76
Ca8,3.92,4.39,4.71,1.8,2.37,107,0.61,2.01,0.66,0.47,0.55,0.52,1.3,70
Ca9,3.77,4.3,4.42,1.43,2.23,106,0.38,2.2,0.38,0.29,0.3,0,0,NA
Ca10,3.55,4.23,4.24,0.78,1.86,104,0.36,2.09,0,0,NA,0,0,NA
Ca11,3.35,3.87,3.83,0.54,1.46,107,0.26,1.74,0,0,NA,0,0,NA
Ca12,2.87,3.63,3.66,0,0,NA,0,0,0,0,NA,0,0,NA
