Mesoplodon_carlhubbsi_(USNM_504128),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,3.16,7.61,6.01,12.26,2.83,86,6.16,3.61,0,0,NA,3.5,1.8,48
T2,4.37,7.63,5.63,15,3.34,88,6.05,4.65,0,0,NA,3.77,2.9,60
T3,5.67,7.55,5.41,17.15,4.33,92,6.58,4.19,1.01,0.79,3.95,3.64,3.97,69
T4,6.78,7.31,5.24,19.3,5.28,98,7.15,4.2,1.5,1.23,5.9,2.57,3.58,82
T5,7.43,7.38,5.51,19.4,5.75,98,7.46,4.77,1.34,1.24,6.8,2.74,2.84,88
T6,8.14,7.27,5.7,21.7,6.34,101,6.4,4.88,1.63,1.45,7.4,3.6,4.1,86
T7,8.72,7.72,5.84,22.8,6.41,104,6.94,5.56,2.61,2.57,7.4,3.9,3.89,90
T8,9.73,8.23,6.07,24.05,6.36,106,6.12,6.38,4.8,4.36,8.25,5.1,4.5,93
T9,10.01,9.13,6.27,25.9,6.7,108,6.02,7.25,5.34,5.09,8.3,7.26,6.44,88
T10,10.76,9.84,6.73,26.45,7.13,110,6.28,7.77,6.3,5.26,7.8,10.86,7.06,82
L1,11.63,9.45,7.24,28.05,7.51,108,6.39,8.31,5.7,5.15,7.75,11.61,6.74,81
L2,12,9.77,7.82,28.85,7.23,105,6.41,8.45,5.88,4.96,8.2,12.08,6.49,81
L3,12.57,10.07,8.48,29.5,7.45,102,6.37,8.58,6.17,5.04,8.05,12.28,6.62,78
L4,12.93,10,8.39,31.1,7.33,103,6.13,8.93,5.91,4.61,8.05,12.49,6.56,79
L5,13.61,10.12,8.81,30.9,7.38,100,6.17,9.2,5.06,4.83,8.4,12.05,7.26,81
L6,14.51,10.34,9.28,31.7,7.61,102,6.05,9.72,4.83,4.76,8.4,11.78,7.58,78
L7,15.3,10.84,9.44,31.75,7.61,104,6.06,10.32,5.15,4.92,8.45,11.85,7.76,75
L8,16,11.12,9.2,32.15,8.08,105,5.93,11.12,4.55,4.92,8.1,11.73,7.83,76
L9,16.8,10.38,9.58,32.1,8.27,101,5.73,11.56,4.73,4.82,8.5,11.44,8.48,75
L10,17.5,11.44,10.05,30.2,8.55,102,5.04,11.75,3.77,4.41,7.5,10.55,8.98,79
L11,17.2,11.93,10.2,28.9,9.06,110,4.45,11.38,3.65,4.29,7.1,10,9.98,77
Ca1,16.3,12.02,10.49,27.5,9.24,108,3.81,10.95,2.89,4,6.5,8.28,9.89,75
Ca2,15.6,11.42,10.46,25.05,9.17,108,3.57,10.17,2.91,3.75,6,7.41,10.25,75
Ca3,15.02,11.77,11.14,22,8.85,108,2.71,9.61,2.56,3.27,5.4,6.63,9.11,79
Ca4,14.26,10.43,11.36,18.4,8.59,113,2.03,9.27,2.96,3.04,4.3,5.99,8.2,80
Ca5,13.81,11.15,11.63,15.25,7.9,118,1.5,8.56,2.7,2.35,3.4,4.27,6.07,72
Ca6,12.97,10.38,11.5,11.6,7.04,118,1.54,7.68,2.46,1.44,2.4,1.96,3.11,75
Ca7,12.07,9.4,11.29,8.5,6.84,119,1.22,6.93,2.3,1.16,1.9,0,0,NA
Ca8,10.93,8.79,11.72,5.05,6.15,117,1.18,6.74,1.85,1.48,1.05,0,0,NA
Ca9,9.64,8.44,10.78,2.45,6.06,113,0.79,5.77,1.44,1.1,0.9,0,0,NA
Ca10,6.98,8.52,9.34,0.85,2.66,103,0.53,2.09,0,0,NA,0,0,NA
Ca11,5.31,7.79,7.66,0,0,NA,0,0,0,0,NA,0,0,NA
