Mesoplodon_densirostris_(USNM_550951),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,2.22,5.8,4.24,13.3,3.24,96,5.1,2.67,0,0,NA,3.41,1.46,50
T2,3.04,6.06,3.99,16.1,4.13,98,4.98,3.37,0,0,NA,3.7,1.7,51
T3,3.95,6.37,3.95,18.7,4.41,106,4.72,3.28,0.66,0.76,4.5,4.01,2.22,65
T4,4.48,6.12,4.03,18.15,4.35,110,4.57,2.86,1.02,1.61,4.55,3.71,2.39,93
T5,4.82,6.64,4.07,21.45,4.74,112,4.42,2.99,1.5,1.74,4.7,3.63,2.39,104
T6,5.45,6.95,4.18,22.65,5.27,115,4.32,3.53,1.79,1.88,5.7,3.67,2.59,105
T7,6.35,6.64,4.48,22.85,5.09,116,4.21,4.17,3.29,2.23,6.3,2.68,1.66,107
T8,7.47,6.48,4.87,23.3,5.49,116,3.78,4.83,4.64,4.28,7.45,1.94,2.75,92
T9,8.1,6.8,4.94,24.25,5.75,117,3.48,5.13,5.59,4.97,8.35,5.6,3.97,98
T10,8.83,6.88,5.31,24.2,5.49,116,3.48,5.08,5.24,5.54,8.7,9.39,6.1,96
L1,9.26,6.84,5.84,24.85,5.46,114,3.43,5.26,6.73,4.79,8.2,10.55,5.84,80
L2,9.55,6.95,6,25.2,6.01,111,3.2,5.25,5.69,4.59,7.7,10.21,6.73,72
L3,9.99,7.15,6.28,25.85,6.14,110,3.47,4.92,5.42,4.29,7.6,NA,6.43,66
L4,10.19,7.17,6.27,26.05,6.01,109,3.5,4.74,4.94,4.31,8.05,10.26,6.84,64
L5,10.78,7.48,6.62,26.5,5.9,110,3.26,4.84,4.56,4.32,7.55,10.5,6.92,62
L6,11.27,7.66,6.84,27.45,5.89,106,3.02,5.67,4.23,4.6,7.5,10.4,6.91,64
L7,11.67,8.06,6.85,27.15,6.15,105,2.67,5.95,3.93,4.42,7.5,9.31,7.23,62
L8,12.01,8.33,7.01,26.25,6.81,106,2.61,6.73,3.31,4.42,6.6,9.77,8.78,63
L9,12.48,8.49,7.28,25.5,7.05,104,2.35,7.37,3.05,3.92,6.15,9.12,8.67,73
L10,12.27,8.69,7.9,24.05,8,103,2.45,7.54,2.44,3.05,6,8.21,8.83,77
Ca1,11.85,8.59,8.16,22.45,8.34,103,2.35,7.9,1.94,3.1,5.85,8.05,9.09,89
Ca2,11.61,8.71,7.88,19.9,8.91,104,1.83,8.47,1.35,2.86,5.15,7.05,9.07,87
Ca3,10.96,8.62,8.03,17.5,8.97,107,1.51,8.02,1.25,1.92,4.05,6.1,8.96,81
Ca4,10.3,8.53,8.24,14.25,8.26,111,1.48,7.37,1.55,1.76,3.9,4.68,7.8,78
Ca5,10.11,8.47,8.74,11.5,7.34,117,1.25,6.32,1.96,1.56,3.35,3.55,5.29,72
Ca6,9.58,7.88,8.6,8.5,6.62,117,0.9,6.09,1.73,1.45,2.65,1.66,4.4,69
Ca7,8.72,6.95,8.54,6.35,6.59,116,1.05,5.63,1.96,0.91,1.65,0.76,2.45,75
Ca8,8.03,6.62,8.25,4.45,6.17,114,1.02,5.21,1.66,0.99,1.35,0,0,NA
Ca9,7.09,6.35,7.95,2.95,4.92,111,0.65,4.64,1.39,0.93,1.05,0,0,NA
Ca10,5.37,6.26,6.83,1.1,2.9,108,0.5,2.78,1.13,0.93,0.6,0,0,NA
Ca11,3.68,5.84,6.03,0,0,NA,0,0,0,0,NA,0,0,NA
