Mesoplodon_europaeus_(USNM_593439),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,2.51,6.35,4.59,7.84,2.06,74,5.2,1.92,0,0,NA,4.25,1.38,60
T2,3.47,6.27,4.56,13.13,4.44,80,5.16,3.38,0,0,NA,3.15,1.9,62
T3,4.57,6.14,4.19,14.55,4.42,100,5.73,3.7,0.52,0.58,4,3.43,2.45,76
T4,5.54,6.09,4.24,16.25,5.09,106,5.74,3.66,0.97,0.86,4.9,3.24,2.49,83
T5,6.21,5.99,4.41,17,5.78,108,5.71,4.16,1.01,1.25,5.1,3.42,2.53,80
T6,6.74,6.3,4.63,17.75,6.14,109,5.68,3.49,1.36,1.19,5.45,3.23,2.66,92
T7,7.33,6.49,4.73,18.15,6.11,109,5.61,4.24,1.64,1.04,5.55,3.48,2.66,99
T8,8.1,6.79,4.98,18.95,6.51,110,5.14,4.66,5.16,3.86,7.25,4.07,3.33,93
T9,8.75,7.47,5.2,19.45,6.25,110,5.15,5.06,5.53,4.15,7.65,8.2,6.42,92
T10,9.27,7.74,5.61,21.15,6.56,106,5.21,5.22,5.32,4.02,7.7,11.09,6.79,86
L1,9.84,7.66,5.95,21.45,6.57,104,5.3,5.39,5.67,3.88,7.45,11.11,6.74,77
L2,10.22,7.93,6.16,21.7,6.46,104,5.1,5.68,5.26,3.23,7.05,11.29,6.3,70
L3,10.66,7.7,6.42,22.4,6.57,102,5.38,5.5,5.33,3.18,7,11.44,6.98,66
L4,10.84,8.02,6.64,22.85,6.6,101,5.71,5.49,5.11,3.54,7.3,12.12,7.7,64
L5,11.41,8.09,6.87,23.25,6.37,100,5.57,5.69,4.81,3.68,7.65,11.83,8.33,62
L6,12.14,8.37,7.18,24.3,6.44,102,5.1,6.27,4.88,3.8,7.4,11.96,8.49,64
L7,12.56,8.62,7.36,24.65,6.21,103,4.59,6.48,4.19,3.7,7,11.57,8.62,64
L8,13.01,8.95,7.59,24.3,6.67,104,4.45,7.07,4.64,3.43,6.85,10.78,8.91,62
L9,13.13,9.13,7.9,23.55,7.32,103,4.53,6.98,4.22,3.34,6.95,10.27,9.11,65
L10,13.13,9.31,8.16,23.2,7.75,100,4.01,8.28,3.22,3.12,6.75,9.67,8.96,69
Ca1,12.56,9.38,7.79,21.45,8.38,102,3.51,8.23,2.42,3.5,6.2,9.19,8.95,75
Ca2,12.08,9.25,8.47,20.2,8.68,104,3.09,7.95,2.45,2.79,5.25,8.08,7.28,77
Ca3,11.35,9.3,8.77,18.7,8.49,107,2.66,7.58,1.99,2.53,4.4,6.19,6.79,74
Ca4,10.82,8.96,8.97,15.8,8.07,109,2.05,7.68,1.53,1.82,3.9,5.25,6.1,76
Ca5,10.32,8.84,9.11,13.3,8.26,110,1.87,7.15,1.27,1.53,3.55,4.33,5.49,79
Ca6,9.83,8.56,9.15,10.9,6.86,113,1.58,6.18,1.35,1.41,3.05,3.02,4.89,78
Ca7,9.32,8.27,9.46,8.25,6.66,116,1.16,5.31,1.24,0.93,2.05,1.78,4.11,74
Ca8,9.13,7.36,9.31,6,6.56,120,0.95,5.47,1.09,0.75,1.55,0.84,1.82,73
Ca9,8.55,6.96,9.23,3.9,5.93,120,0.92,5.15,1.09,0.87,1.05,0,0,NA
Ca10,7.74,6.77,8.12,2.1,5.74,117,0.7,4.81,0.89,0.73,0.75,0,0,NA
Ca11,5.97,6.87,7.51,1.05,3.31,111,0.32,3.03,0,0,NA,0,0,NA
Ca12,4.51,6.66,6.42,0,0,NA,0,0,0,0,NA,0,0,NA
