Mesoplodon_grayi_(PEM_N0021),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,7.74,6.79,4.65,11.4,3.18,95,5.8,2.43,0,0,NA,3.87,2.49,65
T2,3.68,6.05,4.84,12.8,4.46,105,6.3,4.01,0,0,NA,5.36,2.45,70
T3,5.72,5.72,5.07,16.2,5.32,105,6.2,4.8,0,0,NA,5.77,2.69,65
T4,5.55,5.93,4.14,17.8,5.75,100,6.66,4.97,0,0,NA,5.82,3.16,75
T5,5.99,5.97,4.32,18.6,5.72,100,6.5,4.93,0.79,0.92,4,5.75,3.43,80
T6,6.31,6.02,4.28,19.7,5.74,104,7.2,4.12,2.07,1.93,6.5,5.69,3.75,90
T7,6.97,6.3,4.7,19.8,5.85,105,7.8,4.87,3.95,2.21,6.7,5.42,3.86,90
T8,7.48,6.81,4.56,20.1,5.76,105,7.5,4.83,4.47,3.04,7.7,0,0,NA
T9,8.25,6.67,5.09,21,6.41,105,7.5,5.24,5.29,3.17,8,4.53,4.92,90
T10,9.02,6.67,5.76,21.5,6.78,107,7.8,5.96,3.6,3.71,6.8,7.44,6.21,90
L1,9.84,7.44,5.92,23.7,7.18,100,5.09,6.64,5,3.86,7.2,10.1,6.4,80
L2,10.66,7.54,6.28,25,7.2,100,4.45,6.89,2.97,3.41,7,10.4,6.67,75
L3,10.9,7.66,6.57,25.8,7.14,95,4.52,7.04,3.13,4.13,7.4,11.57,7.01,70
L4,11.19,7.95,6.59,26.5,7.19,96,4.52,7.17,4.67,3.72,7.3,12,7.31,65
L5,11.81,8.04,6.9,27.5,6.97,103,4.71,7.61,4.87,4.03,7.5,12.31,7.31,62
L6,11.49,7.86,6.89,27,7.25,100,4.64,7.47,3.32,4.19,7,10.33,6.62,65
L7,11.25,8.19,7.42,27.4,6.87,105,4.49,7.88,3.42,4.64,6.7,10.74,7.15,70
L8,13.41,8.94,7.63,27.9,7.29,105,3.85,9.82,2.9,4.1,5.7,10.25,8.1,70
L9,12.7,8.62,7.42,28,6.97,105,4.23,8.98,4.21,4.45,6.5,11.31,8.14,70
L10,13.53,9.38,7.67,28.3,7.2,105,3.57,9.4,2.14,3.76,4.8,10.25,9.06,75
L11,13.67,9.49,7.87,27.8,7.46,105,3.04,9.32,1.76,4.09,4.5,8.31,9.31,85
Ca1,13.31,9.41,8.42,26.5,8.41,108,2.38,9.68,1.5,3.59,5.5,7.41,10.36,85
Ca2,12.9,9.29,8.66,25,8.71,112,1.86,9.48,0.84,3.23,5,6.63,8.88,90
Ca3,12.45,9.22,8.57,22.4,8.52,110,1.68,9.11,1.79,3.66,6,6.06,8.69,90
Ca4,11.53,9.18,8.77,19.8,7.65,110,1.57,8.74,1.93,3.89,5.5,6.1,8.19,90
Ca5,10.98,8.98,8.67,16.6,7.98,115,1.26,8.19,2.49,2.51,5,5.22,6.44,85
Ca6,10.58,9.19,8.67,13.6,7.68,115,1.04,7.51,2.09,2.41,4.1,3.61,5.71,70
Ca7,10.13,8.61,8.53,10.9,6.97,115,0.91,6.83,1.88,2.46,3.2,1.83,5.98,65
Ca8,9.52,7.83,8.72,8,5.79,115,0.74,6.11,1.38,2.26,2.5,0,0,NA
Ca9,8.96,7.71,8.52,4.8,6.14,115,0.93,5.36,1.05,1.72,1.2,0,0,NA
Ca10,8.12,7.08,8.43,2.7,5.48,105,0.91,4.77,0,0,NA,0,0,NA
Ca11,6.69,7.04,8.92,1,3.57,100,0.73,3.77,0,0,NA,0,0,NA
Ca12,4.95,6.94,7.54,0,0,NA,0,0,0,0,NA,0,0,NA
Ca13,3.67,6.41,6.17,0,0,NA,0,0,0,0,NA,0,0,NA
