Mesoplodon_layardii_(PEM_N0020),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,3.47,8.35,7.14,14.3,3.96,110,6,4.04,0,0,NA,4.82,2.53,48
T2,4.81,7.41,7.5,19.8,5.34,110,6.5,5.15,0,0,NA,4.2,2,50
T3,5.84,7.83,6.37,23,6.03,112,6.8,5.45,0,0,NA,5.1,3.18,50
T4,7.48,7.52,6.08,23.8,6.91,115,7.5,6.33,0,0,NA,5.47,3.46,53
T5,6.64,8.17,6.18,23.8,6.32,110,7.5,4.45,0,0,NA,5.1,3.4,54
T6,7.37,8.63,6.56,25.2,6.68,107,7,4.64,0,0,NA,5.7,4.18,55
T7,7.74,8.2,6.47,26.7,7.48,109,6.5,5.65,3.11,2.56,6.8,5.38,3.94,56
T8,9.53,8.15,6.46,25.8,7.81,110,6,7.38,6.79,4.71,8,5.96,5.85,88
T9,11.2,9.45,7.42,26.2,8.21,112,6,8.38,7.23,6.71,9,8.35,7.89,94
T10,11.8,9.57,7.98,28.2,8.78,106,7,9.72,6.68,5.65,7.7,12.85,7.55,88
L1,13.03,9.53,8.31,28.9,8.73,106,6.5,9.96,4.22,5.39,7.3,12.57,7.12,75
L2,12.91,9.21,8.38,30.5,8.6,105,6.2,9.61,3.63,5.58,7.7,11.76,7.04,70
L3,13.49,9.31,8.34,31.7,8.43,105,6.6,9.77,4.7,5.15,7.2,11.58,7.28,69
L4,13.77,9.15,8.49,31.7,8.64,104,6.3,10.31,5.58,5.4,7.5,11.44,7.22,66
L5,14.14,9.85,8.28,33.2,8.48,102,6,10.69,5.08,4.97,7.4,10.82,7.81,69
L6,14.82,10.47,9.79,33,8.57,100,5.7,11.58,6.35,5,7.4,10.75,7.67,63
L7,15.8,10.91,9.78,33.7,8.77,102,5.47,11.64,4.39,4.47,7.4,11.22,7.59,65
L8,16.4,11.66,10.16,33,8.89,104,5.35,12.48,4.56,5.5,7.4,10.31,8.15,66
L9,16.7,11.26,10.26,32,9.56,100,5.3,12.57,3.03,6.07,7,9.84,8.81,64
L10,16.5,11.94,10.79,31.5,10.07,102,4.14,12.81,3.59,5.13,6.2,8.51,8.24,70
Ca1,16,11.88,10.37,29.8,10.74,106,3.41,12.67,3.28,4.68,6.1,8.72,8.71,66
Ca2,15.4,11.88,11.54,27.5,10.82,106,2.7,11.18,2.83,4.41,5.7,8.75,9.2,67
Ca3,14.91,11.4,11.98,23.8,10.15,111,2.64,10.66,2.21,3.34,5.1,5.89,8.8,76
Ca4,14.31,11.4,11.84,20.7,8.69,117,2.09,9.84,3.2,3.7,5.7,5.76,8.25,83
Ca5,13.52,11.23,12.19,17.8,7.97,126,2.27,9.02,3.38,3.35,5.4,4.19,7.48,80
Ca6,12.14,10.24,12.51,12.8,7.96,136,2.34,8.47,2.81,2.52,3.5,2.08,4.36,70
Ca7,11.54,9.95,11.33,8.5,6.6,135,1.14,7.75,3.85,1.56,1.9,0,0,NA
Ca8,10.9,8.98,11.47,5.8,7.58,132,0.99,5.68,3.09,1.8,1.5,0,0,NA
Ca9,9.86,9.18,11.48,3.2,7.2,123,0.76,4.64,0,0,NA,0,0,NA
Ca10,6.93,8.63,9.89,0,0,NA,0,0,0,0,NA,0,0,NA
Ca11,5.57,8.23,8.75,0,0,NA,0,0,0,0,NA,0,0,NA
