Mesoplodon_layardii_(SAM_ZM19931),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,2.59,8.09,6.15,11.4,2.97,90,5.8,3.03,0,0,NA,5.1,1.76,70
T2,3.6,9.26,6.01,16.9,4.08,100,6.47,4.54,0,0,NA,4.67,3.06,65
T3,4.89,7.17,5.86,18.7,4.51,105,6.8,3.87,0,0,NA,5.72,2.33,60
T4,5.79,6.94,5.32,18.5,5.04,103,6.9,4.4,2,1.82,6,6.53,3.27,65
T5,6.47,7.25,5.45,18.5,5.58,100,7.05,4.97,1.97,1.86,6,5.74,3.79,60
T6,7.27,7.35,5.61,19.5,5.98,100,6.79,4.13,2.04,2.22,6,5.43,3.17,75
T7,7.64,7.44,5.85,21.3,7.16,100,6.59,5.08,2.25,2.15,6.2,5.65,4.07,85
T8,8.51,7.41,6.04,21,6.77,105,6.44,6.66,5.44,4.18,7.2,0,0,NA
T9,9.12,8.09,6.38,21.6,7.33,105,6.28,7.25,5.93,5.05,8.3,7.38,5.66,85
T10,10.43,9,6.96,21.8,7.39,105,5.89,8.19,6.32,5.02,8.4,10.84,5.78,85
L1,11.18,8.97,7.31,22.5,7.37,105,5.96,8.55,4.4,4.43,7.5,10.74,5.71,80
L2,11.48,9.56,7.46,23,7.46,100,5.51,8.57,4.54,4.31,7.7,10.8,5.85,75
L3,11.87,9.49,8,23.7,7.4,100,5.42,8.8,4.43,4.93,8,11.11,6.07,70
L4,11.77,9.53,7.96,24.6,7.74,100,5.34,9.05,3.95,4.57,8.2,10.04,6.37,70
L5,13.14,9.76,8.28,24.8,7.81,100,5.31,9.39,4.65,4.95,8.1,11.06,6.52,65
L6,12.94,10.06,8.81,25.5,7.36,100,5.12,9.86,4.2,4.99,8,10.68,6.63,70
L7,14.4,10.28,8.99,26.5,7.61,102,4.84,10.29,4.27,5.28,7.5,10.89,6.56,70
L8,14.86,10.83,9.29,25.5,7.96,102,5.27,10.82,4,5.67,7.1,10.2,7.35,70
L9,15.5,11.45,9.8,24,8.05,105,4.81,11.1,4.18,5.05,7.2,9.51,7.38,75
L10,15.6,11.58,10.13,22.5,9.15,105,4.58,11.38,2.97,4.94,6.8,7.92,7.14,75
Ca1,15.7,11.57,10.29,21.3,9.62,104,3.96,11.19,2.99,4.63,6.2,7.26,6.54,70
Ca2,14.73,11.42,9.72,19.4,9.18,105,3.69,10.82,2.59,4.32,5.7,6.99,6.05,65
Ca3,13.3,11.01,9.91,17.5,9.2,107,3.39,10.24,2.42,3.8,5.1,6.38,6.87,70
Ca4,12.34,11.09,10.44,15.3,8.52,115,3.24,8.79,2.43,3.29,4.6,4.93,6.38,85
Ca5,12.46,10.94,10.71,12.8,8.18,117,2.43,7.66,2.31,2.47,4,4.2,5.79,90
Ca6,11.48,11.02,10.04,9.8,7.64,120,1.41,6.72,1.82,1.63,3,2.68,4.64,90
Ca7,11.6,10.04,9.61,7.7,7.47,125,0.95,5.73,1.66,1.39,2.3,1.2,4.09,90
Ca8,10.2,9.03,10.43,4.3,7.74,125,0.7,5.93,0,0,NA,0,0,NA
Ca9,9.33,8.61,9.98,1.9,6.62,115,0.8,4.92,0,0,NA,0,0,NA
Ca10,7.65,8.37,9.61,0,0,NA,0,0,0,0,NA,0,0,NA
Ca11,5.52,8.43,8.37,0,0,NA,0,0,0,0,NA,0,0,NA
